home, homescore, awayscore, away, date, group
Sampdoria, 2, 2, Internazionale, "Sunday, February 8, 2004", "Luigi Ferraris (35,706)"
AS Roma, 4, 0, Juventus, "Sunday, February 8, 2004", "Olimpico (80,000)"
Chievo Verona, 2, 3, Lecce, "Saturday, February 7, 2004", "Bentegodi (10,137)"
Udinese, 1, 3, Bologna, "Saturday, February 7, 2004", "Friuli (13,000)"
Ancona, 0, 2, Lecce, "Sunday, February 1, 2004", "Del Conero (10,000)"
Bologna, 0, 2, AC Milan, "Sunday, February 1, 2004", "Renato Dall'Ara (33,000)"
Juventus, 1, 0, Chievo Verona, "Sunday, February 1, 2004", "Delle Alpi (30,078)"
Lazio, 1, 1, Sampdoria, "Sunday, February 1, 2004", "Stadio Olimpico (45,000)"
Perugia, 2, 2, Parma, "Sunday, February 1, 2004", "Renato Curi (8,000)"
Udinese, 1, 0, Modena, "Sunday, February 1, 2004", "Friuli (12,500)"
Internazionale, 4, 0, Siena, "Sunday, February 1, 2004", "San Siro (50,732)"
Reggina, 2, 0, Empoli, "Saturday, January 31, 2004", "Stadio Granillo (18,000)"
Brescia, 1, 0, AS Roma, "Saturday, January 31, 2004", "Mario Rigamonti (18,000)"
AC Milan, 2, 1, Siena, "Wednesday, January 28, 2004", "San Siro (55,000)"
AC Milan, 5, 0, Ancona, "Sunday, January 25, 2004", "San Siro (55,000)"
AS Roma, 1, 1, Udinese, "Sunday, January 25, 2004", "Olimpico (45,000)"
Chievo Verona, 3, 1, Brescia, "Sunday, January 25, 2004", "Bentegodi (20,000)"
Lecce, 0, 1, Lazio, "Sunday, January 25, 2004", "Via del Mare (10,834)"
Modena, 1, 1, Internazionale, "Sunday, January 25, 2004", "Stadio Alberto Braglia (14,000)"
Parma, 0, 0, Bologna, "Sunday, January 25, 2004", "Ennio Tardini (30,000)"
Empoli, 3, 3, Juventus, "Sunday, January 25, 2004", "Carlo Castellani (19,500)"
Siena, 2, 1, Perugia, "Saturday, January 24, 2004", "Artemio Franchi (12,000)"
Ancona, 0, 0, Perugia, "Sunday, January 18, 2004", "Del Conero (10,000)"
AS Roma, 3, 1, Sampdoria, "Sunday, January 18, 2004", "Olimpico (49,000)"
