home, homescore, awayscore, away, date, group
Osasuna, 3, 1, Racing Santander, "Sunday, March 13, 2011", Reyno de Navarra (17,000)
Real Sociedad, 0, 2, Malaga, "Sunday, March 13, 2011", Anoeta (20,000)
Villarreal, 1, 1, Sporting Gijon, "Sunday, March 13, 2011", El Madrigal (18,000)
Sevilla FC, 1, 1, Barcelona, "Sunday, March 13, 2011", RamÃ³n SÃ¡nchez PizjuÃ¡n (44,000)
Almeria, 2, 2, Atletico Madrid, "Saturday, March 12, 2011", Juegos MediterrÃ¡neos (19,000)
Real Madrid, 2, 0, Hercules, "Saturday, March 12, 2011", Santiago BernabÃ©u (72,000)
Real Zaragoza, 4, 0, Valencia, "Saturday, March 12, 2011", La Romareda (20,000)
Deportivo La CoruÃ±a, 2, 1, Real Sociedad, "Monday, March 7, 2011", Municipal de Riazor (25,000)
Hercules, 1, 2, Almeria, "Sunday, March 6, 2011", JosÃ© Rico PÃ©rez (24,000)
Levante, 1, 0, Espanyol, "Sunday, March 6, 2011", Ciutat de Valencia (12,000)
Malaga, 0, 1, Osasuna, "Sunday, March 6, 2011", La Rosaleda (32,000)
Sporting Gijon, 2, 0, Getafe, "Sunday, March 6, 2011", El MolinÃ³n (16,000)
Athletic Bilbao, 2, 0, Sevilla FC, "Sunday, March 6, 2011", San MamÃ©s (35,000)
Racing Santander, 1, 3, Real Madrid, "Sunday, March 6, 2011", El Sardinero (20,000)
Mallorca, 1, 2, Valencia, "Saturday, March 5, 2011", Iberostar Estadi (18,000)
Barcelona, 1, 0, Real Zaragoza, "Saturday, March 5, 2011", Camp Nou (68,000)
Atletico Madrid, 3, 1, Villarreal, "Saturday, March 5, 2011", Vicente CalderÃ³n (40,000)
Almeria, 1, 1, Racing Santander, "Thursday, March 3, 2011", Juegos MediterrÃ¡neos (14,500)
Real Madrid, 7, 0, Malaga, "Thursday, March 3, 2011", Santiago BernabÃ©u (65,000)
Getafe, 1, 1, Atletico Madrid, "Wednesday, March 2, 2011", Coliseum Alfonso PÃ©rez (13,000)
Osasuna, 0, 0, Deportivo La CoruÃ±a, "Wednesday, March 2, 2011", Reyno de Navarra (15,000)
Real Sociedad, 1, 1, Levante, "Wednesday, March 2, 2011", Anoeta (15,000)
Real Zaragoza, 2, 1, Athletic Bilbao, "Wednesday, March 2, 2011", La Romareda (18,000)
Villarreal, 1, 0, Hercules, "Wednesday, March 2, 2011", El Madrigal (18,000)
Valencia, 0, 1, Barcelona, "Wednesday, March 2, 2011", Mestalla (55,000)
Espanyol, 1, 2, Mallorca, "Tuesday, March 1, 2011", CornellÃ¡ - El Prat (17,000)
