Getafe, 2, 0, Real Sociedad, "Sunday, May 8, 2005"," Coliseum Alfonso Perez "
Malaga, 0, 2, Villarreal, "Sunday, May 8, 2005"," Estadio La Rosaleda "
Valencia, 0, 2, Barcelona, "Sunday, May 8, 2005"," Estadio Mestalla "
Deportivo La Coru̱a, 2, 0, Atletico Madrid, "Sunday, May 8, 2005"," Estadio Riazor "
Athletic Bilbao, 2, 0, Real Zaragoza, "Saturday, May 7, 2005"," Estadio San Mam̩s "
Osasuna, 1, 1, Mallorca, "Saturday, May 7, 2005"," Estadio El Sadar "
Real Madrid, 5, 0, Racing Santander, "Saturday, May 7, 2005"," Estadio Santiago Bernab̩u "
Real Betis, 1, 0, Sevilla FC, "Saturday, May 7, 2005"," Estadio Manuel Ruiz de Lopera "
Levante, 0, 1, Malaga, "Sunday, May 1, 2005"," Ciudad de Valencia "
Mallorca, 3, 2, Espanyol, "Sunday, May 1, 2005"," Estadio Son Moix "
Racing Santander, 1, 1, Real Betis, "Sunday, May 1, 2005"," Estadio El Sardinero "
Real Zaragoza, 5, 1, Osasuna, "Sunday, May 1, 2005"," Estadio La Romareda "
Villarreal, 4, 0, Getafe, "Sunday, May 1, 2005"," Estadio El Madrigal "
Barcelona, 2, 0, Albacete, "Sunday, May 1, 2005"," Estadio Camp Nou "
Sevilla FC, 2, 0, Deportivo La Coru̱a, "Sunday, May 1, 2005"," Estadio Ramon Sanchez Pizjuan "
Atletico Madrid, 1, 1, Athletic Bilbao, "Saturday, April 30, 2005"," Vicente Calderon "
Numancia, 1, 1, Valencia, "Saturday, April 30, 2005"," Estadio Nuevo Los Pajaritos "
Real Sociedad, 0, 2, Real Madrid, "Saturday, April 30, 2005"," Estadio Anoeta "
Osasuna, 3, 2, Villarreal, "Thursday, April 28, 2005"," Estadio El Sadar "
Deportivo La Coru̱a, 1, 4, Racing Santander, "Sunday, April 24, 2005"," Estadio Riazor (23,000)"
Espanyol, 3, 1, Real Zaragoza, "Sunday, April 24, 2005"," Estadio Olimpico de Montjuic (30,195)"
Getafe, 1, 0, Levante, "Sunday, April 24, 2005"," Coliseum Alfonso Perez (36,000)"
Numancia, 1, 2, Mallorca, "Sunday, April 24, 2005"," Estadio Nuevo Los Pajaritos (6,000)"
Real Betis, 2, 3, Real Sociedad, "Sunday, April 24, 2005"," Estadio Manuel Ruiz de Lopera (35,000)"
Valencia, 2, 0, Albacete, "Sunday, April 24, 2005"," Estadio Mestalla (42,000)"
Malaga, 0, 4, Barcelona, "Sunday, April 24, 2005"," Estadio La Rosaleda (32,000)"
Athletic Bilbao, 1, 3, Sevilla FC, "Sunday, April 24, 2005"," Estadio San Mam̩s (32,000)"
Osasuna, 1, 0, Atletico Madrid, "Saturday, April 23, 2005"," Estadio El Sadar (16,000)"
Real Madrid, 2, 1, Villarreal, "Saturday, April 23, 2005"," Estadio Santiago Bernab̩u (80,000)"
Albacete, 1, 2, Malaga, "Sunday, April 17, 2005"," Carlos Belmonte "
Mallorca, 0, 0, Valencia, "Sunday, April 17, 2005"," Estadio Son Moix "
Racing Santander, 0, 2, Athletic Bilbao, "Sunday, April 17, 2005"," Estadio El Sardinero "
Real Zaragoza, 4, 1, Numancia, "Sunday, April 17, 2005"," Estadio La Romareda "
Villarreal, 0, 0, Real Betis, "Sunday, April 17, 2005"," Estadio El Madrigal "
Levante, 0, 2, Real Madrid, "Sunday, April 17, 2005"," Ciudad de Valencia "
Barcelona, 2, 0, Getafe, "Sunday, April 17, 2005"," Estadio Camp Nou "
Atletico Madrid, 0, 0, Espanyol, "Saturday, April 16, 2005"," Vicente Calderon "
Sevilla FC, 0, 1, Osasuna, "Saturday, April 16, 2005"," Estadio Ramon Sanchez Pizjuan "
Real Sociedad, 1, 0, Deportivo La Coru̱a, "Saturday, April 16, 2005"," Estadio Anoeta "
Espanyol, 1, 3, Sevilla FC, "Sunday, April 10, 2005"," Estadio Olimpico de Montjuic "
Getafe, 1, 0, Albacete, "Sunday, April 10, 2005"," Coliseum Alfonso Perez "
Mallorca, 0, 2, Real Zaragoza, "Sunday, April 10, 2005"," Estadio Son Moix "
Osasuna, 1, 0, Racing Santander, "Sunday, April 10, 2005"," Estadio El Sadar "
Real Betis, 2, 2, Levante, "Sunday, April 10, 2005"," Estadio Manuel Ruiz de Lopera "
Valencia, 2, 2, Malaga, "Sunday, April 10, 2005"," Estadio Mestalla "
Real Madrid, 4, 2, Barcelona, "Sunday, April 10, 2005"," Estadio Santiago Bernab̩u "
Deportivo La Coru̱a, 1, 1, Villarreal, "Sunday, April 10, 2005"," Estadio Riazor "
Numancia, 1, 0, Atletico Madrid, "Saturday, April 9, 2005"," Estadio Nuevo Los Pajaritos "
Athletic Bilbao, 3, 0, Real Sociedad, "Saturday, April 9, 2005"," Estadio San Mam̩s "
Barcelona, 3, 3, Real Betis, "Sunday, April 3, 2005"," Estadio Camp Nou "
Levante, 0, 1, Deportivo La Coru̱a, "Sunday, April 3, 2005"," Ciudad de Valencia "
Malaga, 1, 1, Getafe, "Sunday, April 3, 2005"," Estadio La Rosaleda "
Racing Santander, 1, 3, Espanyol, "Sunday, April 3, 2005"," Estadio El Sardinero "
Sevilla FC, 1, 0, Numancia, "Sunday, April 3, 2005"," Estadio Ramon Sanchez Pizjuan "
Atletico Madrid, 4, 0, Mallorca, "Sunday, April 3, 2005"," Vicente Calderon "
Albacete, 1, 2, Real Madrid, "Sunday, April 3, 2005"," Carlos Belmonte "
Real Sociedad, 2, 0, Osasuna, "Saturday, April 2, 2005"," Estadio Anoeta "
Real Zaragoza, 2, 2, Valencia, "Saturday, April 2, 2005"," Estadio La Romareda "
Villarreal, 3, 1, Athletic Bilbao, "Saturday, April 2, 2005"," Estadio El Madrigal "
Athletic Bilbao, 3, 1, Levante, "Sunday, March 20, 2005"," Estadio San Mam̩s "
Mallorca, 0, 1, Sevilla FC, "Sunday, March 20, 2005"," Estadio Son Moix "
Numancia, 2, 3, Racing Santander, "Sunday, March 20, 2005"," Estadio Nuevo Los Pajaritos "
Valencia, 3, 1, Getafe, "Sunday, March 20, 2005"," Estadio Mestalla "
Real Madrid, 1, 0, Malaga, "Sunday, March 20, 2005"," Estadio Santiago Bernab̩u "
Real Zaragoza, 0, 0, Atletico Madrid, "Sunday, March 20, 2005"," Estadio La Romareda "
Real Betis, 2, 1, Albacete, "Saturday, March 19, 2005"," Estadio Manuel Ruiz de Lopera "
Espanyol, 2, 2, Real Sociedad, "Saturday, March 19, 2005"," Estadio Olimpico de Montjuic "
Deportivo La Coru̱a, 0, 1, Barcelona, "Saturday, March 19, 2005"," Estadio Riazor "
Athletic Bilbao, 1, 2, Getafe, "Wednesday, March 16, 2005"," Estadio San Mam̩s "
Albacete, 0, 1, Deportivo La Coru̱a, "Sunday, March 13, 2005"," Carlos Belmonte "
Levante, 4, 0, Osasuna, "Sunday, March 13, 2005"," Ciudad de Valencia "
Racing Santander, 3, 0, Mallorca, "Sunday, March 13, 2005"," Estadio El Sardinero "
Real Sociedad, 2, 1, Numancia, "Sunday, March 13, 2005"," Estadio Anoeta "
Sevilla FC, 0, 1, Real Zaragoza, "Sunday, March 13, 2005"," Estadio Ramon Sanchez Pizjuan "
Villarreal, 4, 1, Espanyol, "Sunday, March 13, 2005"," Estadio El Madrigal "
Getafe, 2, 1, Real Madrid, "Sunday, March 13, 2005"," Coliseum Alfonso Perez "
Atletico Madrid, 1, 0, Valencia, "Sunday, March 13, 2005"," Vicente Calderon "
Barcelona, 2, 0, Athletic Bilbao, "Saturday, March 12, 2005"," Estadio Camp Nou "
Malaga, 1, 2, Real Betis, "Saturday, March 12, 2005"," Estadio La Rosaleda "
Espanyol, 2, 1, Levante, "Sunday, March 6, 2005"," Estadio Olimpico de Montjuic "
Mallorca, 3, 2, Real Sociedad, "Sunday, March 6, 2005"," Estadio Son Moix "
Numancia, 1, 1, Villarreal, "Sunday, March 6, 2005"," Estadio Nuevo Los Pajaritos "
Real Betis, 2, 2, Getafe, "Sunday, March 6, 2005"," Estadio Manuel Ruiz de Lopera "
Real Zaragoza, 1, 0, Racing Santander, "Sunday, March 6, 2005"," Estadio La Romareda "
Athletic Bilbao, 3, 1, Albacete, "Sunday, March 6, 2005"," Estadio San Mam̩s "
Deportivo La Coru̱a, 1, 0, Malaga, "Sunday, March 6, 2005"," Estadio Riazor "
Osasuna, 0, 1, Barcelona, "Saturday, March 5, 2005"," Estadio El Sadar "
Valencia, 1, 1, Real Madrid, "Saturday, March 5, 2005"," Estadio Mestalla "
Atletico Madrid, 3, 0, Sevilla FC, "Saturday, March 5, 2005"," Vicente Calderon "
Albacete, 1, 1, Osasuna, "Wednesday, March 2, 2005"," Carlos Belmonte "
Getafe, 1, 1, Deportivo La Coru̱a, "Wednesday, March 2, 2005"," Coliseum Alfonso Perez "
Levante, 1, 1, Numancia, "Wednesday, March 2, 2005"," Ciudad de Valencia "
Malaga, 1, 0, Athletic Bilbao, "Wednesday, March 2, 2005"," Estadio La Rosaleda "
Racing Santander, 2, 1, Atletico Madrid, "Wednesday, March 2, 2005"," Estadio El Sardinero "
Real Sociedad, 2, 1, Real Zaragoza, "Wednesday, March 2, 2005"," Estadio Anoeta "
Sevilla FC, 2, 2, Valencia, "Wednesday, March 2, 2005"," Estadio Ramon Sanchez Pizjuan "
Villarreal, 2, 1, Mallorca, "Wednesday, March 2, 2005"," Estadio El Madrigal "
Real Madrid, 3, 1, Real Betis, "Wednesday, March 2, 2005"," Estadio Santiago Bernab̩u "
Barcelona, 0, 0, Espanyol, "Tuesday, March 1, 2005"," Estadio Camp Nou "
Osasuna, 1, 6, Malaga, "Sunday, February 27, 2005"," Estadio El Sadar "
Real Zaragoza, 1, 0, Villarreal, "Sunday, February 27, 2005"," Estadio La Romareda "
Sevilla FC, 2, 2, Racing Santander, "Sunday, February 27, 2005"," Estadio Ramon Sanchez Pizjuan "
Atletico Madrid, 1, 0, Real Sociedad, "Sunday, February 27, 2005"," Vicente Calderon "
Valencia, 2, 1, Real Betis, "Sunday, February 27, 2005"," Estadio Mestalla "
Espanyol, 2, 1, Albacete, "Saturday, February 26, 2005"," Estadio Olimpico de Montjuic "
Mallorca, 1, 2, Levante, "Saturday, February 26, 2005"," Estadio Son Moix "
Numancia, 1, 1, Barcelona, "Saturday, February 26, 2005"," Estadio Nuevo Los Pajaritos "
Deportivo La Coru̱a, 2, 0, Real Madrid, "Saturday, February 26, 2005"," Estadio Riazor "
Albacete, 1, 2, Numancia, "Sunday, February 20, 2005"," Carlos Belmonte "
Getafe, 0, 0, Osasuna, "Sunday, February 20, 2005"," Coliseum Alfonso Perez "
Levante, 0, 0, Real Zaragoza, "Sunday, February 20, 2005"," Ciudad de Valencia "
Malaga, 3, 2, Espanyol, "Sunday, February 20, 2005"," Estadio La Rosaleda "
Real Betis, 2, 0, Deportivo La Coru̱a, "Sunday, February 20, 2005"," Estadio Manuel Ruiz de Lopera "
Racing Santander, 1, 0, Valencia, "Sunday, February 20, 2005"," Estadio El Sardinero "
Villarreal, 3, 2, Atletico Madrid, "Sunday, February 20, 2005"," Estadio El Madrigal "
Barcelona, 2, 0, Mallorca, "Saturday, February 19, 2005"," Estadio Camp Nou "
Real Madrid, 0, 2, Athletic Bilbao, "Saturday, February 19, 2005"," Estadio Santiago Bernab̩u "
Real Sociedad, 1, 0, Sevilla FC, "Saturday, February 19, 2005"," Estadio Anoeta "
Atletico Madrid, 0, 0, Levante, "Sunday, February 13, 2005"," Vicente Calderon (45,000)"
Espanyol, 2, 0, Getafe, "Sunday, February 13, 2005"," Estadio Olimpico de Montjuic (19,150)"
Mallorca, 2, 1, Albacete, "Sunday, February 13, 2005"," Estadio Son Moix (21,500)"
Numancia, 0, 1, Malaga, "Sunday, February 13, 2005"," Estadio Nuevo Los Pajaritos (7,500)"
Racing Santander, 1, 3, Real Sociedad, "Sunday, February 13, 2005"," Estadio El Sardinero (13,500)"
Sevilla FC, 2, 1, Villarreal, "Sunday, February 13, 2005"," Estadio Ramon Sanchez Pizjuan (40,000)"
Osasuna, 1, 2, Real Madrid, "Sunday, February 13, 2005"," Estadio El Sadar (15,000)"
Athletic Bilbao, 4, 4, Real Betis, "Sunday, February 13, 2005"," Estadio San Mam̩s (30,000)"
Real Zaragoza, 1, 4, Barcelona, "Saturday, February 12, 2005"," Estadio La Romareda (34,500)"
Valencia, 1, 2, Deportivo La Coru̱a, "Saturday, February 12, 2005"," Mestalla Stadium (45,000)"
Albacete, 2, 1, Real Zaragoza, "Sunday, February 6, 2005"," Carlos Belmonte (15,000)"
Getafe, 1, 0, Numancia, "Sunday, February 6, 2005"," Coliseum Alfonso Perez (10,000)"
Levante, 0, 3, Sevilla FC, "Sunday, February 6, 2005"," Ciutat de Valencia (19,000)"
Malaga, 0, 0, Mallorca, "Sunday, February 6, 2005"," La Rosaleda (20,000)"
Real Betis, 3, 1, Osasuna, "Sunday, February 6, 2005"," Estadio Manuel Ruiz de Lopera (36,000)"
Villarreal, 2, 1, Racing Santander, "Sunday, February 6, 2005"," Estadio El Madrigal (20,000)"
Deportivo La Coru̱a, 1, 1, Athletic Bilbao, "Sunday, February 6, 2005"," Riazor Stadium (23,300)"
Barcelona, 0, 2, Atletico Madrid, "Sunday, February 6, 2005"," Camp Nou (62,520)"
Real Sociedad, 3, 3, Valencia, "Saturday, February 5, 2005"," Anoeta Stadium (15,500)"
Real Madrid, 4, 0, Espanyol, "Saturday, February 5, 2005"," Santiago Bernabeu (63,000)"
Espanyol, 2, 2, Real Betis, "Sunday, January 30, 2005"," Montjuic Stadium (23,721)"
Mallorca, 3, 1, Getafe, "Sunday, January 30, 2005"," Son Moix (16,500)"
Osasuna, 1, 1, Deportivo La Coru̱a, "Sunday, January 30, 2005"," El Sadar (14,000)"
Racing Santander, 2, 2, Levante, "Sunday, January 30, 2005"," Estadio El Sardinero (13,000)"
Real Sociedad, 0, 4, Villarreal, "Sunday, January 30, 2005"," Anoeta Stadium (20,326)"
Real Zaragoza, 1, 0, Malaga, "Sunday, January 30, 2005"," Estadio La Romareda (29,300)"
Numancia, 1, 2, Real Madrid, "Sunday, January 30, 2005"," Nuevo Los Pajaritos (10,000)"
Valencia, 2, 2, Athletic Bilbao, "Sunday, January 30, 2005"," Mestalla Stadium (38,000)"
Atletico Madrid, 3, 1, Albacete, "Saturday, January 29, 2005"," Vicente Calderon "
Sevilla FC, 0, 4, Barcelona, "Saturday, January 29, 2005"," Estadio Ramon Sanchez Pizjuan (45,000)"
Albacete, 0, 2, Sevilla FC, "Sunday, January 23, 2005"," Carlos Belmonte (15,000)"
Deportivo La Coru̱a, 4, 1, Espanyol, "Sunday, January 23, 2005"," Riazor Stadium (24,300)"
Getafe, 3, 0, Real Zaragoza, "Sunday, January 23, 2005"," Coliseum Alfonso Perez (12,000)"
Levante, 2, 1, Real Sociedad, "Sunday, January 23, 2005"," Ciutat de Valencia (14,000)"
Real Betis, 4, 0, Numancia, "Sunday, January 23, 2005"," Estadio Manuel Ruiz de Lopera (40,000)"
Villarreal, 3, 1, Valencia, "Sunday, January 23, 2005"," Estadio El Madrigal (20,000)"
Malaga, 1, 0, Atletico Madrid, "Sunday, January 23, 2005"," La Rosaleda (29,000)"
Real Madrid, 3, 1, Mallorca, "Sunday, January 23, 2005"," Estadio Santiago Bernab̩u "
Barcelona, 3, 0, Racing Santander, "Saturday, January 22, 2005"," Camp Nou (67,043)"
Athletic Bilbao, 4, 3, Osasuna, "Saturday, January 22, 2005"," Estadio Mestalla (32,000)"
Osasuna, 0, 0, Valencia, "Sunday, January 16, 2005"," Estadio El Sadar (16,000)"
Albacete, 0, 0, Racing Santander, "Sunday, January 16, 2005"," Carlos Belmonte (15,000)"
Athletic Bilbao, 1, 1, Espanyol, "Sunday, January 16, 2005"," San Mames Stadium (38,000)"
Deportivo La Coru̱a, 1, 1, Numancia, "Sunday, January 16, 2005"," Estadio Riazor (27,500)"
Levante, 2, 4, Villarreal, "Sunday, January 16, 2005"," Ciutat de Valencia (16,000)"
Real Betis, 2, 0, Mallorca, "Sunday, January 16, 2005"," Estadio Manuel Ruiz de Lopera (35,000)"
Barcelona, 1, 0, Real Sociedad, "Sunday, January 16, 2005"," Estadio Camp Nou (68,701)"
Real Madrid, 3, 1, Real Zaragoza, "Sunday, January 16, 2005"," Estadio Santiago Bernab̩u (62,000)"
Getafe, 1, 1, Atletico Madrid, "Saturday, January 15, 2005"," Coliseum Alfonso Perez (14,000)"
Malaga, 1, 0, Sevilla FC, "Saturday, January 15, 2005"," La Rosaleda (22,000)"
Espanyol, 4, 1, Osasuna, "Sunday, January 9, 2005"," Montjuic Stadium (19,323)"
Mallorca, 2, 2, Deportivo La Coru̱a, "Sunday, January 9, 2005"," Son Moix (15,000)"
Racing Santander, 2, 1, Malaga, "Sunday, January 9, 2005"," Estadio El Sardinero (11,300)"
Real Sociedad, 0, 2, Albacete, "Sunday, January 9, 2005"," Anoeta Stadium (20,528)"
Real Zaragoza, 1, 0, Real Betis, "Sunday, January 9, 2005"," La Romareda Stadium (32,500)"
Atletico Madrid, 0, 3, Real Madrid, "Sunday, January 9, 2005"," Vicente Calderon (35,000)"
Villarreal, 3, 0, Barcelona, "Sunday, January 9, 2005"," El Madrigal (22,000)"
Numancia, 1, 1, Athletic Bilbao, "Saturday, January 8, 2005"," Estadio Nuevo Los Pajaritos "
Sevilla FC, 0, 0, Getafe, "Saturday, January 8, 2005"," Estadio Ramon Sanchez Pizjuan (40,000)"
Valencia, 2, 1, Levante, "Saturday, January 8, 2005"," Estadio Mestalla (52,000)"
Real Madrid, 2, 1, Real Sociedad, "Wednesday, January 5, 2005"," Santiago Bernabeu (72,000)"
Albacete, 2, 2, Villarreal, "Wednesday, December 22, 2004"," Carlos Belmonte (10,000)"
Athletic Bilbao, 4, 0, Mallorca, "Wednesday, December 22, 2004"," Estadio San Mam̩s (30,000)"
Deportivo La Coru̱a, 2, 3, Real Zaragoza, "Wednesday, December 22, 2004"," Estadio Riazor (22,000)"
Getafe, 2, 0, Racing Santander, "Wednesday, December 22, 2004"," Coliseum Alfonso Perez (12,000)"
Malaga, 1, 5, Real Sociedad, "Wednesday, December 22, 2004"," Estadio La Rosaleda (18,000)"
Osasuna, 2, 0, Numancia, "Wednesday, December 22, 2004"," Estadio El Sadar (14,000)"
Valencia, 3, 0, Espanyol, "Wednesday, December 22, 2004"," Estadio Mestalla (30,000)"
Real Madrid, 0, 1, Sevilla FC, "Wednesday, December 22, 2004"," Estadio Santiago Bernab̩u (57,312)"
Barcelona, 2, 1, Levante, "Tuesday, December 21, 2004"," Estadio Camp Nou (50,000)"
Real Betis, 1, 0, Atletico Madrid, "Tuesday, December 21, 2004"," Estadio Manuel Ruiz de Lopera (35,000)"
Villarreal, 3, 0, Malaga, "Sunday, December 19, 2004"," Estadio El Madrigal (16,000)"
Atletico Madrid, 1, 0, Deportivo La Coru̱a, "Sunday, December 19, 2004"," Vicente Calderon (45,000)"
Mallorca, 1, 2, Osasuna, "Sunday, December 19, 2004"," Estadio Son Moix (14,000)"
Numancia, 0, 0, Espanyol, "Sunday, December 19, 2004"," Estadio Nuevo Los Pajaritos (7,500)"
Real Sociedad, 1, 1, Getafe, "Sunday, December 19, 2004"," Estadio Anoeta (21,800)"
Real Zaragoza, 0, 2, Athletic Bilbao, "Sunday, December 19, 2004"," Estadio La Romareda (30,000)"
Sevilla FC, 2, 1, Real Betis, "Sunday, December 19, 2004"," Estadio Ramon Sanchez Pizjuan (46,000)"
Levante, 1, 1, Albacete, "Saturday, December 18, 2004"," Ciudad de Valencia (12,000)"
Racing Santander, 2, 3, Real Madrid, "Saturday, December 18, 2004"," Estadio El Sardinero (17,300)"
Barcelona, 1, 1, Valencia, "Saturday, December 18, 2004"," Camp Nou (71,895)"
Deportivo La Coru̱a, 2, 2, Sevilla FC, "Sunday, December 12, 2004"," Riazor Stadium (24,000)"
Getafe, 1, 2, Villarreal, "Sunday, December 12, 2004"," Coliseum Alfonso Perez (12,000)"
Malaga, 1, 0, Levante, "Sunday, December 12, 2004"," La Rosaleda (20,000)"
Osasuna, 2, 2, Real Zaragoza, "Sunday, December 12, 2004"," Estadio El Sadar "
Real Betis, 2, 1, Racing Santander, "Sunday, December 12, 2004"," Estadio Manuel Ruiz de Lopera (35,000)"
Valencia, 1, 0, Numancia, "Sunday, December 12, 2004"," Mestalla Stadium (35,000)"
Espanyol, 2, 1, Mallorca, "Sunday, December 12, 2004"," Montjuic Stadium (15,150)"
Albacete, 1, 2, Barcelona, "Saturday, December 11, 2004"," Carlos Belmonte (17,000)"
Athletic Bilbao, 1, 0, Atletico Madrid, "Saturday, December 11, 2004"," San Mames Stadium (35,000)"
Levante, 0, 0, Getafe, "Sunday, December 5, 2004"," Ciutat de Valencia (10,000)"
Mallorca, 3, 2, Numancia, "Sunday, December 5, 2004"," Son Moix (21,000)"
Racing Santander, 2, 2, Deportivo La Coru̱a, "Sunday, December 5, 2004"," El Sardinero (12,000)"
Real Zaragoza, 0, 1, Espanyol, "Sunday, December 5, 2004"," La Romareda Stadium (18,500)"
Sevilla FC, 2, 0, Athletic Bilbao, "Sunday, December 5, 2004"," Estadio Ramon Sanchez Pizjuan (37,000)"
Villarreal, 0, 0, Real Madrid, "Sunday, December 5, 2004"," El Madrigal (21,000)"
Atletico Madrid, 3, 2, Osasuna, "Sunday, December 5, 2004"," Vicente Calderon (45,000)"
Albacete, 0, 1, Valencia, "Saturday, December 4, 2004"," Carlos Belmonte (14,000)"
Barcelona, 4, 0, Malaga, "Saturday, December 4, 2004"," Camp Nou (67,226)"
Real Sociedad, 1, 0, Real Betis, "Saturday, December 4, 2004"," Anoeta Stadium (18,000)"
Deportivo La Coru̱a, 2, 2, Real Sociedad, "Sunday, November 28, 2004"," Riazor Stadium (24,000)"
Malaga, 0, 2, Albacete, "Sunday, November 28, 2004"," La Rosaleda (20,000)"
Numancia, 2, 1, Real Zaragoza, "Sunday, November 28, 2004"," Nuevo Los Pajaritos (10,000)"
Osasuna, 4, 1, Sevilla FC, "Sunday, November 28, 2004"," El Sadar (15,000)"
Real Betis, 2, 1, Villarreal, "Sunday, November 28, 2004"," Estadio Manuel Ruiz de Lopera (35,000)"
Real Madrid, 5, 0, Levante, "Sunday, November 28, 2004"," Santiago Bernabeu (70,000)"
Valencia, 2, 0, Mallorca, "Sunday, November 28, 2004"," Mestalla Stadium (48,000)"
Athletic Bilbao, 3, 0, Racing Santander, "Saturday, November 27, 2004"," San Mames Stadium (32,000)"
Getafe, 1, 2, Barcelona, "Saturday, November 27, 2004"," Coliseum Alfonso Perez (14,500)"
Espanyol, 2, 1, Atletico Madrid, "Saturday, November 27, 2004"," Montjuic Stadium (17,120)"
Albacete, 1, 1, Getafe, "Sunday, November 21, 2004"," Carlos Belmonte (14,000)"
Levante, 1, 2, Real Betis, "Sunday, November 21, 2004"," Ciutat de Valencia (24,000)"
Racing Santander, 1, 1, Osasuna, "Sunday, November 21, 2004"," El Sardinero (15,000)"
Real Zaragoza, 0, 1, Mallorca, "Sunday, November 21, 2004"," La Romareda Stadium (28,000)"
Sevilla FC, 1, 0, Espanyol, "Sunday, November 21, 2004"," Estadio Ramon Sanchez Pizjuan (37,000)"
Atletico Madrid, 2, 0, Numancia, "Sunday, November 21, 2004"," Vicente Calderon (45,000)"
Real Sociedad, 3, 2, Athletic Bilbao, "Sunday, November 21, 2004"," Anoeta Stadium (26,000)"
Malaga, 0, 2, Valencia, "Saturday, November 20, 2004"," La Rosaleda (23,000)"
Villarreal, 0, 2, Deportivo La Coru̱a, "Saturday, November 20, 2004"," El Madrigal (16,000)"
Barcelona, 3, 0, Real Madrid, "Saturday, November 20, 2004"," Camp Nou (98,000)"
Mallorca, 1, 1, Atletico Madrid, "Sunday, November 14, 2004"," Son Moix (17,000)"
Real Madrid, 6, 1, Albacete, "Sunday, November 14, 2004"," Santiago Bernabeu (65,000)"
Real Betis, 2, 1, Barcelona, "Sunday, November 14, 2004"," Estadio Manuel Ruiz de Lopera (50,000)"
Athletic Bilbao, 2, 1, Villarreal, "Saturday, November 13, 2004"," San Mames Stadium (30,000)"
Espanyol, 2, 1, Racing Santander, "Saturday, November 13, 2004"," Montjuic Stadium (19,665)"
Getafe, 1, 0, Malaga, "Saturday, November 13, 2004"," Coliseum Alfonso Perez (13,000)"
Numancia, 2, 1, Sevilla FC, "Saturday, November 13, 2004"," Nuevo Los Pajaritos (6,500)"
Osasuna, 1, 0, Real Sociedad, "Saturday, November 13, 2004"," El Sadar (15,000)"
