home, homescore, awayscore, away, date, time
Bolton, 0, 4, Chelsea, Monday 24 January 2011, 20:00
Blackburn, 2, 0, West Brom, Sunday 23 January 2011, 16:00
Aston Villa, 1, 0, Man City, Saturday 22 January 2011, 17:30
Arsenal, 3, 0, Wigan, Saturday 22 January 2011, 15:00
Blackpool, 1, 2, Sunderland, Saturday 22 January 2011, 15:00
Everton, 2, 2, West Ham, Saturday 22 January 2011, 15:00
Fulham, 2, 0, Stoke, Saturday 22 January 2011, 15:00
Man Utd, 5, 0, Birmingham, Saturday 22 January 2011, 15:00
Newcastle, 1, 1, Spurs, Saturday 22 January 2011, 15:00
Wolves, 0, 3, Liverpool, Saturday 22 January 2011, 12:45
Spurs, 0, 0, Man Utd, Sunday 16 January 2011, 16:10
Liverpool, 2, 2, Everton, Sunday 16 January 2011, 14:05
Birmingham, 1, 1, Aston Villa, Sunday 16 January 2011, 12:00
Sunderland, 1, 1, Newcastle, Sunday 16 January 2011, 12:00
West Ham, 0, 3, Arsenal, Saturday 15 January 2011, 17:30
Chelsea, 2, 0, Blackburn, Saturday 15 January 2011, 15:00
Man City, 4, 3, Wolves, Saturday 15 January 2011, 15:00
Stoke, 2, 0, Bolton, Saturday 15 January 2011, 15:00
West Brom, 3, 2, Blackpool, Saturday 15 January 2011, 15:00
Wigan, 1, 1, Fulham, Saturday 15 January 2011, 15:00
Blackpool, 2, 1, Liverpool, Wednesday 12 January 2011, 20:00
Blackburn, 3, 1, Liverpool, Wednesday 5 January 2011, 20:00
Bolton, 1, 1, Wigan, Wednesday 5 January 2011, 20:00
Everton, 2, 1, Spurs, Wednesday 5 January 2011, 20:00
Arsenal, 0, 0, Man City, Wednesday 5 January 2011, 19:45
Aston Villa, 0, 1, Sunderland, Wednesday 5 January 2011, 19:45
Newcastle, 5, 0, West Ham, Wednesday 5 January 2011, 19:45
Wolves, 1, 0, Chelsea, Wednesday 5 January 2011, 19:45
Blackpool, 1, 2, Birmingham, Tuesday 4 January 2011, 20:00
Fulham, 3, 0, West Brom, Tuesday 4 January 2011, 20:00
Man Utd, 2, 1, Stoke, Tuesday 4 January 2011, 20:00
Wigan, 0, 1, Newcastle, Sunday 2 January 2011, 16:00
Chelsea, 3, 3, Aston Villa, Sunday 2 January 2011, 13:30
Birmingham, 0, 3, Arsenal, Saturday 1 January 2011, 17:30
Liverpool, 2, 1, Bolton, Saturday 1 January 2011, 15:00
Man City, 1, 0, Blackpool, Saturday 1 January 2011, 15:00
Stoke, 2, 0, Everton, Saturday 1 January 2011, 15:00
Sunderland, 3, 0, Blackburn, Saturday 1 January 2011, 15:00
Spurs, 1, 0, Fulham, Saturday 1 January 2011, 15:00
West Ham, 2, 0, Wolves, Saturday 1 January 2011, 15:00
West Brom, 1, 2, Man Utd, Saturday 1 January 2011, 12:45
Liverpool, 0, 1, Wolves, Wednesday 29 December 2010, 20:00
Chelsea, 1, 0, Bolton, Wednesday 29 December 2010, 19:45
Wigan, 2, 2, Arsenal, Wednesday 29 December 2010, 19:45
Birmingham, 1, 1, Man Utd, Tuesday 28 December 2010, 20:00
West Ham, 1, 1, Everton, Tuesday 28 December 2010, 17:30
Man City, 4, 0, Aston Villa, Tuesday 28 December 2010, 15:00
Stoke, 0, 2, Fulham, Tuesday 28 December 2010, 15:00
Sunderland, 0, 2, Blackpool, Tuesday 28 December 2010, 15:00
Spurs, 2, 0, Newcastle, Tuesday 28 December 2010, 15:00
West Brom, 1, 3, Blackburn, Tuesday 28 December 2010, 15:00
Arsenal, 3, 1, Chelsea, Monday 27 December 2010, 20:00
Aston Villa, 1, 2, Spurs, Sunday 26 December 2010, 17:30
Blackburn, 0, 2, Stoke, Sunday 26 December 2010, 15:00
Bolton, 2, 0, West Brom, Sunday 26 December 2010, 15:00
Man Utd, 2, 0, Sunderland, Sunday 26 December 2010, 15:00
Newcastle, 1, 3, Man City, Sunday 26 December 2010, 15:00
Wolves, 1, 2, Wigan, Sunday 26 December 2010, 15:00
Fulham, 1, 3, West Ham, Sunday 26 December 2010, 12:00
Man City, 1, 2, Everton, Monday 20 December 2010, 20:00
Blackburn, 1, 1, West Ham, Saturday 18 December 2010, 15:00
Sunderland, 1, 0, Bolton, Saturday 18 December 2010, 12:45
Man Utd, 1, 0, Arsenal, Monday 13 December 2010, 20:00
Spurs, 1, 1, Chelsea, Sunday 12 December 2010, 16:00
Bolton, 2, 1, Blackburn, Sunday 12 December 2010, 13:30
Wolves, 1, 0, Birmingham, Sunday 12 December 2010, 13:30
Newcastle, 3, 1, Liverpool, Saturday 11 December 2010, 17:30
