home, homescore, awayscore, away, date, group
Hannover 96, 1, 3, Hertha Berlin, "Sunday, February 29, 2004", "Niedersachsenstadion (21,755)"
SC Freiburg, 1, 0, Kaiserslautern, "Sunday, February 29, 2004", "Dreisamstadion  (23,000)"
Bayern Munich, 2, 0, VfL Wolfsburg, "Saturday, February 28, 2004", "Olympiastadion (32,000)"
Eintracht Frankfurt, 3, 1, Borussia Monchengladbach, "Saturday, February 28, 2004", "Waldstadion (33,000)"
FC Cologne, 1, 3, TSV 1860 Munich, "Saturday, February 28, 2004", "Mungersdorfer Stadion (38,000)"
Hamburg SV, 3, 1, Bayer Leverkusen, "Saturday, February 28, 2004", "Volksparkstadion (43,032)"
VfB Stuttgart, 0, 0, Schalke 04, "Saturday, February 28, 2004", "Gottlieb-Daimler Stadion (43,000)"
VfL Bochum, 0, 0, Hansa Rostock, "Saturday, February 28, 2004", "Ruhr Stadium (25,110)"
Werder Bremen, 2, 0, Borussia Dortmund, "Saturday, February 28, 2004", "Weserstadion (23,000)"
Borussia Dortmund, 1, 0, FC Cologne, "Sunday, February 22, 2004", "Westfalenstadion (80,500)"
Hertha Berlin, 1, 2, Eintracht Frankfurt, "Sunday, February 22, 2004", "Olympia Stadium (27,389)"
Bayer Leverkusen, 1, 3, VfL Bochum, "Saturday, February 21, 2004", "BayArena (22,500)"
Bayern Munich, 1, 0, Hamburg SV, "Saturday, February 21, 2004", "Olympiastadion (36,000)"
Borussia Monchengladbach, 2, 2, SC Freiburg, "Saturday, February 21, 2004", "Stadium Bokelberg (28,400)"
Hansa Rostock, 3, 1, Hannover 96, "Saturday, February 21, 2004", "Ostseestadion (16,000)"
Kaiserslautern, 1, 0, VfB Stuttgart, "Saturday, February 21, 2004", "Fritz-Walter Stadion (41,200)"
Schalke 04, 0, 0, Werder Bremen, "Saturday, February 21, 2004", "Arena Auf Schalke (63,000)"
VfL Wolfsburg, 3, 1, TSV 1860 Munich, "Saturday, February 21, 2004", "Volkswagen Arena (13,821)"
TSV 1860 Munich, 0, 2, Borussia Dortmund, "Sunday, February 15, 2004", "Olympiastadion (25,200)"
Werder Bremen, 1, 0, Kaiserslautern, "Sunday, February 15, 2004", "Weserstadion (36,933)"
Eintracht Frankfurt, 1, 1, Hansa Rostock, "Saturday, February 14, 2004", "Waldstadion (23,000)"
FC Cologne, 0, 2, Schalke 04, "Saturday, February 14, 2004", "Mungersdorfer Stadion (51,000)"
Hamburg SV, 2, 0, VfL Wolfsburg, "Saturday, February 14, 2004", "Volksparkstadion (41,017)"
Hannover 96, 2, 2, Bayer Leverkusen, "Saturday, February 14, 2004", "Niedersachsenstadion (20,993)"
SC Freiburg, 2, 3, Hertha Berlin, "Saturday, February 14, 2004", "Dreisamstadion  (23,000)"
VfB Stuttgart, 1, 1, Borussia Monchengladbach, "Saturday, February 14, 2004", "Gottlieb-Daimler Stadion (33,000)"
VfL Bochum, 1, 0, Bayern Munich, "Saturday, February 14, 2004", "Ruhr Stadium (32,645)"
Bayern Munich, 3, 1, Hannover 96, "Sunday, February 8, 2004", "Olympiastadion (32,000)"
Hertha Berlin, 1, 0, VfB Stuttgart, "Sunday, February 8, 2004", "Olympia Stadium (39,153)"
Bayer Leverkusen, 1, 2, Eintracht Frankfurt, "Saturday, February 7, 2004", "BayArena (25,586)"
Borussia Monchengladbach, 1, 2, Werder Bremen, "Saturday, February 7, 2004", "Stadium Bokelberg (28,650)"
Hamburg SV, 1, 1, VfL Bochum, "Saturday, February 7, 2004", "Volksparkstadion (47,670)"
Hansa Rostock, 4, 1, SC Freiburg, "Saturday, February 7, 2004", "Ostseestadion (18,000)"
Kaiserslautern, 1, 0, FC Cologne, "Saturday, February 7, 2004", "Fritz-Walter Stadion (37,529)"
Schalke 04, 0, 0, TSV 1860 Munich, "Saturday, February 7, 2004", "Arena Auf Schalke (61,000)"
VfL Wolfsburg, 2, 4, Borussia Dortmund, "Saturday, February 7, 2004", "Volkswagen Arena (25,286)"
Hannover 96, 3, 2, Hamburg SV, "Sunday, February 1, 2004", "Niedersachsenstadion (23,309)"
SC Freiburg, 1, 0, Bayer Leverkusen, "Sunday, February 1, 2004", "Dreisamstadion  (24,500)"
Eintracht Frankfurt, 1, 1, Bayern Munich, "Saturday, January 31, 2004", "Waldstadion (37,500)"
FC Cologne, 1, 0, Borussia Monchengladbach, "Saturday, January 31, 2004", "Mungersdorfer Stadion (51,000)"
TSV 1860 Munich, 2, 1, Kaiserslautern, "Saturday, January 31, 2004", "Olympiastadion (20,300)"
VfB Stuttgart, 2, 0, Hansa Rostock, "Saturday, January 31, 2004", "Gottlieb-Daimler Stadion (42,000)"
VfL Bochum, 1, 0, VfL Wolfsburg, "Saturday, January 31, 2004", "Ruhr Stadium (20,793)"
Werder Bremen, 4, 0, Hertha Berlin, "Saturday, January 31, 2004", "Weserstadion (34,500)"
Borussia Dortmund, 0, 1, Schalke 04, "Friday, January 30, 2004", "Westfalenstadion (83,000)"
Borussia Dortmund, 1, 1, Kaiserslautern, "Wednesday, December 17, 2003", "Westfalenstadion (73,000)"
Hannover 96, 2, 2, VfL Bochum, "Wednesday, December 17, 2003", "Niedersachsenstadion (20,396)"
Schalke 04, 1, 1, VfL Wolfsburg, "Wednesday, December 17, 2003", "Arena Auf Schalke (59,775)"
TSV 1860 Munich, 1, 2, Borussia Monchengladbach, "Wednesday, December 17, 2003", "Olympiastadion (15,100)"
VfB Stuttgart, 2, 3, Bayer Leverkusen, "Wednesday, December 17, 2003", "Gottlieb-Daimler Stadion (47,000)"
Eintracht Frankfurt, 2, 3, Hamburg SV, "Tuesday, December 16, 2003", "Waldstadion (20,000)"
FC Cologne, 3, 0, Hertha Berlin, "Tuesday, December 16, 2003", "Mungersdorfer Stadion (35,000)"
SC Freiburg, 0, 6, Bayern Munich, "Tuesday, December 16, 2003", "Dreisamstadion  (25,000)"
Werder Bremen, 3, 0, Hansa Rostock, "Tuesday, December 16, 2003", "Weserstadion (33,754)"
Borussia Monchengladbach, 2, 1, Borussia Dortmund, "Sunday, December 14, 2003", "Stadium Bokelberg (34,500)"
VfL Wolfsburg, 2, 1, Hannover 96, "Sunday, December 14, 2003", "Volkswagen Arena (29,803)"
Bayer Leverkusen, 1, 3, Werder Bremen, "Saturday, December 13, 2003", "BayArena (22,500)"
Bayern Munich, 1, 0, VfB Stuttgart, "Saturday, December 13, 2003", "Olympiastadion (63,000)"
Hamburg SV, 4, 1, SC Freiburg, "Saturday, December 13, 2003", "Volksparkstadion (43,392)"
Hansa Rostock, 1, 1, FC Cologne, "Saturday, December 13, 2003", "Ostseestadion (20,000)"
Hertha Berlin, 1, 1, TSV 1860 Munich, "Saturday, December 13, 2003", "Olympia Stadium (27,100)"
Kaiserslautern, 0, 2, Schalke 04, "Saturday, December 13, 2003", "Fritz-Walter Stadion (40,034)"
VfL Bochum, 1, 0, Eintracht Frankfurt, "Saturday, December 13, 2003", "Ruhr Stadium (31,995)"
FC Cologne, 0, 0, Bayer Leverkusen, "Sunday, December 7, 2003", "Mungersdorfer Stadion (40,000)"
Schalke 04, 2, 1, Borussia Monchengladbach, "Sunday, December 7, 2003", "Arena Auf Schalke (61,266)"
Borussia Dortmund, 1, 1, Hertha Berlin, "Saturday, December 6, 2003", "Westfalenstadion (77,000)"
Eintracht Frankfurt, 2, 2, Hannover 96, "Saturday, December 6, 2003", "Waldstadion (19,000)"
SC Freiburg, 4, 2, VfL Bochum, "Saturday, December 6, 2003", "Dreisamstadion  (23,600)"
TSV 1860 Munich, 1, 4, Hansa Rostock, "Saturday, December 6, 2003", "Olympiastadion (18,600)"
VfB Stuttgart, 0, 0, Hamburg SV, "Saturday, December 6, 2003", "Gottlieb-Daimler Stadion (41,000)"
VfL Wolfsburg, 4, 1, Kaiserslautern, "Saturday, December 6, 2003", "Volkswagen Arena (17,331)"
Werder Bremen, 1, 1, Bayern Munich, "Saturday, December 6, 2003", "Weserstadion (43,000)"
Hansa Rostock, 2, 1, Borussia Dortmund, "Sunday, November 30, 2003", "Ostseestadion (24,300)"
Hertha Berlin, 1, 3, Schalke 04, "Sunday, November 30, 2003", "Olympia Stadium (37,000)"
Bayer Leverkusen, 2, 2, TSV 1860 Munich, "Saturday, November 29, 2003", "BayArena (22,500)"
Bayern Munich, 2, 2, FC Cologne, "Saturday, November 29, 2003", "Olympiastadion (48,000)"
Borussia Monchengladbach, 2, 1, Kaiserslautern, "Saturday, November 29, 2003", "Stadium Bokelberg (30,850)"
Eintracht Frankfurt, 3, 2, VfL Wolfsburg, "Saturday, November 29, 2003", "Waldstadion (20,000)"
Hamburg SV, 1, 1, Werder Bremen, "Saturday, November 29, 2003", "Volksparkstadion (55,500)"
Hannover 96, 3, 0, SC Freiburg, "Saturday, November 29, 2003", "Niedersachsenstadion (20,307)"
VfL Bochum, 0, 0, VfB Stuttgart, "Saturday, November 29, 2003", "Ruhr Stadium (30,088)"
Kaiserslautern, 4, 2, Hertha Berlin, "Sunday, November 23, 2003", "Fritz-Walter Stadion (33,200)"
SC Freiburg, 1, 0, Eintracht Frankfurt, "Sunday, November 23, 2003", "Dreisamstadion  (24,000)"
Borussia Dortmund, 2, 2, Bayer Leverkusen, "Saturday, November 22, 2003", "Westfalenstadion (81,000)"
FC Cologne, 0, 1, Hamburg SV, "Saturday, November 22, 2003", "Mungersdorfer Stadion (38,600)"
Schalke 04, 0, 1, Hansa Rostock, "Saturday, November 22, 2003", "Arena Auf Schalke (61,266)"
TSV 1860 Munich, 0, 1, Bayern Munich, "Saturday, November 22, 2003", "Olympiastadion "
VfB Stuttgart, 3, 1, Hannover 96, "Saturday, November 22, 2003", "Gottlieb-Daimler Stadion (36,000)"
VfL Wolfsburg, 1, 3, Borussia Monchengladbach, "Saturday, November 22, 2003", "Volkswagen Arena (22,137)"
Werder Bremen, 3, 1, VfL Bochum, "Saturday, November 22, 2003", "Weserstadion (34,298)"
Bayer Leverkusen, 3, 1, Schalke 04, "Sunday, November 9, 2003", "BayArena (22,500)"
Bayern Munich, 4, 1, Borussia Dortmund, "Sunday, November 9, 2003", "Olympiastadion (63,000)"
Eintracht Frankfurt, 0, 2, VfB Stuttgart, "Saturday, November 8, 2003", "Waldstadion (28,000)"
Hamburg SV, 3, 1, TSV 1860 Munich, "Saturday, November 8, 2003", "Volksparkstadion (44,947)"
Hannover 96, 1, 5, Werder Bremen, "Saturday, November 8, 2003", "Niedersachsenstadion (25,895)"
Hansa Rostock, 4, 0, Kaiserslautern, "Saturday, November 8, 2003", "Ostseestadion (14,600)"
Hertha Berlin, 2, 1, Borussia Monchengladbach, "Saturday, November 8, 2003", "Olympia Stadium (32,838)"
SC Freiburg, 3, 2, VfL Wolfsburg, "Saturday, November 8, 2003", "Dreisamstadion  (24,000)"
VfL Bochum, 4, 0, FC Cologne, "Saturday, November 8, 2003", "Ruhr Stadium (30,777)"
Borussia Dortmund, 3, 2, Hamburg SV, "Sunday, November 2, 2003", "Westfalenstadion (78,000)"
Kaiserslautern, 0, 0, Bayer Leverkusen, "Sunday, November 2, 2003", "Fritz-Walter Stadion (38,583)"
Borussia Monchengladbach, 1, 1, Hansa Rostock, "Saturday, November 1, 2003", "Stadium Bokelberg (30,100)"
