home,homescore,awayscore,away,date,location
St Mirren,1,1,Inverness Caledonian Thistle,"Saturday, February 9, 2008","St Mirren Park (3,609)"
Falkirk,0,1,Celtic,"Sunday, January 27, 2008","Falkirk Stadium (6,803)"
Aberdeen,0,1,Heart of Midlothian,"Saturday, January 26, 2008","Pittodrie Stadium (14,000)"
Kilmarnock,1,2,Dundee United,"Saturday, January 26, 2008","Rugby Park (4,803)"
Rangers,4,0,St Mirren,"Saturday, January 26, 2008","Ibrox Stadium (49,198)"
Inverness Caledonian Thistle,0,1,Rangers,"Sunday, January 20, 2008","Caledonian Stadium (7,753)"
Heart of Midlothian,1,0,Hibernian,"Saturday, January 19, 2008","Tynecastle Stadium (17,131)"
Celtic,1,0,Kilmarnock,"Saturday, January 19, 2008","Celtic Park (56,618)"
Dundee United,3,0,Aberdeen,"Saturday, January 19, 2008","Tannadice Park (8,579)"
Gretna,2,0,Falkirk,"Saturday, January 19, 2008","Fir Park Stadium (1,609)"
St Mirren,3,1,Motherwell,"Saturday, January 19, 2008","St Mirren Park (4,291)"
Gretna,1,2,Rangers,"Wednesday, January 16, 2008","Fir Park Stadium (6,137)"
Falkirk,0,0,Aberdeen,"Saturday, January 5, 2008","Falkirk Stadium (5,457)"
Heart of Midlothian,1,1,Kilmarnock,"Saturday, January 5, 2008","Tynecastle Stadium (14,346)"
Inverness Caledonian Thistle,3,0,Gretna,"Saturday, January 5, 2008","Caledonian Stadium (3,919)"
Rangers,2,0,Dundee United,"Saturday, January 5, 2008","Ibrox Stadium (48,559)"
St Mirren,2,1,Hibernian,"Saturday, January 5, 2008","St Mirren Park (4,212)"
Aberdeen,1,0,Inverness Caledonian Thistle,"Wednesday, January 2, 2008","Pittodrie Stadium (13,372)"
Dundee United,4,1,Heart of Midlothian,"Wednesday, January 2, 2008","Tannadice Park (12,100)"
Kilmarnock,0,1,Falkirk,"Wednesday, January 2, 2008","Rugby Park (5,956)"
Hibernian,1,2,Rangers,"Saturday, December 29, 2007","Easter Road Stadium (16,217)"
Celtic,3,0,Gretna,"Saturday, December 29, 2007","Celtic Park (57,171)"
Falkirk,2,1,Heart of Midlothian,"Saturday, December 29, 2007","Falkirk Stadium (6,614)"
Inverness Caledonian Thistle,3,1,Kilmarnock,"Saturday, December 29, 2007","Caledonian Stadium (4,169)"
Motherwell,5,3,Dundee United,"Saturday, December 29, 2007","Fir Park Stadium (5,227)"
