home,homescore,awayscore,away,date,location
Feyenoord Rotterdam,1,3,NEC Nijmegen,"Sunday, March 2, 2008","De Kuip Stadion  (45,000)"
NAC Breda,3,0,Sparta Rotterdam,"Saturday, March 1, 2008","Fujifilm  (16,550)"
Roda JC Kerkrade,1,1,AZ Alkmaar,"Saturday, March 1, 2008","Parkstad Limburg Stadion (14,800)"
De Graafschap,1,2,Willem II Tilburg,"Saturday, March 1, 2008","De Vijverberg (11,660)"
Twente Enschede,1,0,Heerenveen,"Saturday, March 1, 2008","Arke Stadion (13,100)"
Vitesse Arnhem,1,3,VVV Venlo,"Friday, February 29, 2008","Gelredome (18,500)"
NAC Breda,2,3,Ajax Amsterdam,"Sunday, February 24, 2008","Fujifilm  (16,380)"
VVV Venlo,2,5,FC Groningen,"Sunday, February 24, 2008","De Koel (5,860)"
Heerenveen,2,3,NEC Nijmegen,"Sunday, February 24, 2008","Abe Lenstra Stadion (25,200)"
PSV Eindhoven,4,1,De Graafschap,"Sunday, February 24, 2008","Philipsstadion (33,000)"
AZ Alkmaar,0,0,Twente Enschede,"Saturday, February 23, 2008","DSB Stadion (16,535)"
Excelsior,0,0,Willem II Tilburg,"Saturday, February 23, 2008","Stad Rotterdam Verzekeringen Stadion (3,400)"
SC Heracles Almelo,3,3,Feyenoord Rotterdam,"Saturday, February 23, 2008","Polman Stadion (8,500)"
Vitesse Arnhem,1,1,Roda JC Kerkrade,"Saturday, February 23, 2008","Gelredome (19,475)"
Sparta Rotterdam,2,1,FC Utrecht,"Friday, February 22, 2008","ENECO (10,095)"
De Graafschap,0,1,NAC Breda,"Sunday, February 17, 2008","De Vijverberg (12,000)"
FC Groningen,2,1,AZ Alkmaar,"Sunday, February 17, 2008","Euroborg (19,547)"
FC Utrecht,1,4,VVV Venlo,"Sunday, February 17, 2008","Nieuwe Galgenwaard (20,000)"
Feyenoord Rotterdam,1,0,Vitesse Arnhem,"Sunday, February 17, 2008","De Kuip Stadion  (46,000)"
Roda JC Kerkrade,3,1,Twente Enschede,"Saturday, February 16, 2008","Parkstad Limburg Stadion (14,300)"
Willem II Tilburg,0,1,PSV Eindhoven,"Saturday, February 16, 2008","Willem II  (12,500)"
NEC Nijmegen,0,1,Excelsior,"Saturday, February 16, 2008","De Goffert (12,100)"
SC Heracles Almelo,2,2,Heerenveen,"Saturday, February 16, 2008","Polman Stadion (8,500)"
Ajax Amsterdam,6,2,Sparta Rotterdam,"Friday, February 15, 2008","Amsterdam ArenA (49,200)"
Roda JC Kerkrade,2,1,Ajax Amsterdam,"Sunday, February 10, 2008","Parkstad Limburg Stadion (18,000)"
VVV Venlo,1,1,Willem II Tilburg,"Sunday, February 10, 2008","De Koel (6,000)"
NEC Nijmegen,5,2,AZ Alkmaar,"Sunday, February 10, 2008","De Goffert (12,000)"
Sparta Rotterdam,0,1,Excelsior,"Sunday, February 10, 2008","ENECO (10,528)"
