home, homescore, awayscore, away, date, stadium
Borussia Dortmund, 1, 2, Werder Bremen, "Saturday, April 5, 2003"," Westfalenstadion (68,000)"
Energie Cottbus, 2, 3, VfB Stuttgart, "Saturday, April 5, 2003"," Stadion der Freundschaft (12,529)"
Hamburg SV, 1, 0, Arminia Bielefeld, "Saturday, April 5, 2003"," Volksparkstadion (46,160)"
Hannover 96, 2, 2, Bayern Munich, "Saturday, April 5, 2003"," Niedersachsenstadion (31,878)"
Nurnberg, 0, 0, Schalke 04, "Saturday, April 5, 2003"," Frankenstadion (41,100)"
VfL Bochum, 1, 1, Kaiserslautern, "Saturday, April 5, 2003"," Ruhr Stadium (32,146)"
Hertha Berlin, 3, 1, Energie Cottbus, "Sunday, March 23, 2003"," Olympia Stadium (40,000)"
VfB Stuttgart, 0, 2, Nurnberg, "Sunday, March 23, 2003"," Gottlieb-Daimler Stadion (25,000)"
Arminia Bielefeld, 0, 0, Borussia Dortmund, "Saturday, March 22, 2003"," Almstadion (26,601)"
Bayern Munich, 1, 0, Hansa Rostock, "Saturday, March 22, 2003"," Olympiastadion (43,000)"
Borussia Monchengladbach, 2, 0, Hamburg SV, "Saturday, March 22, 2003"," Stadium Bokelberg (30,550)"
Kaiserslautern, 1, 0, Bayer Leverkusen, "Saturday, March 22, 2003"," Fritz-Walter Stadion (40,500)"
Schalke 04, 1, 1, TSV 1860 Munich, "Saturday, March 22, 2003"," Arena Auf Schalke (60,686)"
VfL Wolfsburg, 2, 0, VfL Bochum, "Saturday, March 22, 2003"," VFL-Stadion (20,973)"
Werder Bremen, 1, 2, Hannover 96, "Saturday, March 22, 2003"," Weserstadion (38,000)"
Nurnberg, 0, 3, Hertha Berlin, "Sunday, March 16, 2003"," Frankenstadion (25,500)"
TSV 1860 Munich, 0, 1, VfB Stuttgart, "Sunday, March 16, 2003"," Olympiastadion (28,000)"
Arminia Bielefeld, 4, 1, Borussia Monchengladbach, "Saturday, March 15, 2003"," Almstadion (26,601)"
Bayer Leverkusen, 1, 1, VfL Wolfsburg, "Saturday, March 15, 2003"," BayArena (22,000)"
Borussia Dortmund, 2, 0, Hannover 96, "Saturday, March 15, 2003"," Westfalenstadion (68,600)"
Energie Cottbus, 1, 3, Kaiserslautern, "Saturday, March 15, 2003"," Stadion der Freundschaft (15,260)"
Hamburg SV, 3, 1, Schalke 04, "Saturday, March 15, 2003"," Volksparkstadion (55,433)"
Hansa Rostock, 1, 0, Werder Bremen, "Saturday, March 15, 2003"," Ostseestadion (17,200)"
VfL Bochum, 1, 4, Bayern Munich, "Saturday, March 15, 2003"," Ruhr Stadium (32,645)"
Hannover 96, 3, 1, Hansa Rostock, "Sunday, March 9, 2003"," Niedersachsenstadion (29,001)"
Kaiserslautern, 5, 0, Nurnberg, "Sunday, March 9, 2003"," Fritz-Walter Stadion (35,527)"
Bayern Munich, 3, 0, Bayer Leverkusen, "Saturday, March 8, 2003"," Olympiastadion (50,000)"
Borussia Monchengladbach, 1, 0, Borussia Dortmund, "Saturday, March 8, 2003"," Stadium Bokelberg (33,700)"
Hertha Berlin, 6, 0, TSV 1860 Munich, "Saturday, March 8, 2003"," Olympia Stadium (30,000)"
Schalke 04, 1, 1, Arminia Bielefeld, "Saturday, March 8, 2003"," Arena Auf Schalke (60,886)"
VfB Stuttgart, 1, 1, Hamburg SV, "Saturday, March 8, 2003"," Gottlieb-Daimler Stadion (37,000)"
VfL Wolfsburg, 3, 2, Energie Cottbus, "Saturday, March 8, 2003"," VFL-Stadion (17,136)"
Werder Bremen, 2, 0, VfL Bochum, "Saturday, March 8, 2003"," Weserstadion (29,600)"
Arminia Bielefeld, 0, 1, VfB Stuttgart, "Sunday, March 2, 2003"," Almstadion (22,150)"
Hamburg SV, 1, 0, Hertha Berlin, "Sunday, March 2, 2003"," Volksparkstadion (38,354)"
Bayer Leverkusen, 3, 0, Werder Bremen, "Saturday, March 1, 2003"," BayArena (22,500)"
Borussia Dortmund, 2, 0, Hansa Rostock, "Saturday, March 1, 2003"," Westfalenstadion (65,000)"
Borussia Monchengladbach, 2, 2, Schalke 04, "Saturday, March 1, 2003"," Stadium Bokelberg (32,900)"
Energie Cottbus, 0, 2, Bayern Munich, "Saturday, March 1, 2003"," Stadion der Freundschaft (18,250)"
Nurnberg, 1, 1, VfL Wolfsburg, "Saturday, March 1, 2003"," Frankenstadion (18,500)"
TSV 1860 Munich, 0, 0, Kaiserslautern, "Saturday, March 1, 2003"," Olympiastadion (23,000)"
VfL Bochum, 1, 2, Hannover 96, "Saturday, March 1, 2003"," Ruhr Stadium (15,000)"
Hertha Berlin, 0, 0, Arminia Bielefeld, "Sunday, February 23, 2003"," Olympia Stadium (30,900)"
VfB Stuttgart, 4, 0, Borussia Monchengladbach, "Sunday, February 23, 2003"," Gottlieb-Daimler Stadion (25,500)"
Bayern Munich, 2, 0, Nurnberg, "Saturday, February 22, 2003"," Olympiastadion (45,000)"
Hannover 96, 1, 2, Bayer Leverkusen, "Saturday, February 22, 2003"," Niedersachsenstadion (35,869)"
Hansa Rostock, 1, 1, VfL Bochum, "Saturday, February 22, 2003"," Ostseestadion (14,800)"
Kaiserslautern, 2, 0, Hamburg SV, "Saturday, February 22, 2003"," Fritz-Walter Stadion (39,000)"
Schalke 04, 2, 2, Borussia Dortmund, "Saturday, February 22, 2003"," Arena Auf Schalke (60,880)"
VfL Wolfsburg, 1, 1, TSV 1860 Munich, "Saturday, February 22, 2003"," VFL-Stadion (15,326)"
Werder Bremen, 0, 1, Energie Cottbus, "Saturday, February 22, 2003"," Weserstadion (29,000)"
Borussia Monchengladbach, 2, 0, VfL Wolfsburg, "Wednesday, February 19, 2003"," Stadium Bokelberg (23,900)"
Borussia Monchengladbach, 0, 2, Hertha Berlin, "Sunday, February 16, 2003"," Stadium Bokelberg (24,200)"
Energie Cottbus, 3, 0, Hannover 96, "Sunday, February 16, 2003"," Stadion der Freundschaft (13,485)"
Arminia Bielefeld, 1, 1, Kaiserslautern, "Saturday, February 15, 2003"," Almstadion (19,237)"
Bayer Leverkusen, 1, 2, Hansa Rostock, "Saturday, February 15, 2003"," BayArena (22,500)"
Borussia Dortmund, 4, 1, VfL Bochum, "Saturday, February 15, 2003"," Westfalenstadion (67,000)"
Hamburg SV, 2, 0, VfL Wolfsburg, "Saturday, February 15, 2003"," Volksparkstadion (34,075)"
Nurnberg, 1, 0, Werder Bremen, "Saturday, February 15, 2003"," Frankenstadion (17,500)"
Schalke 04, 2, 0, VfB Stuttgart, "Saturday, February 15, 2003"," Arena Auf Schalke (60,600)"
TSV 1860 Munich, 0, 5, Bayern Munich, "Saturday, February 15, 2003"," Olympiastadion (64,000)"
Bayern Munich, 1, 1, Hamburg SV, "Sunday, February 9, 2003"," Olympiastadion (40,000)"
VfB Stuttgart, 1, 0, Borussia Dortmund, "Sunday, February 9, 2003"," Gottlieb-Daimler Stadion (40,000)"
Hannover 96, 4, 2, Nurnberg, "Saturday, February 8, 2003"," Niedersachsenstadion (26,157)"
Hansa Rostock, 0, 0, Energie Cottbus, "Saturday, February 8, 2003"," Ostseestadion (17,000)"
Hertha Berlin, 4, 2, Schalke 04, "Saturday, February 8, 2003"," Olympia Stadium (39,962)"
Kaiserslautern, 2, 0, Borussia Monchengladbach, "Saturday, February 8, 2003"," Fritz-Walter Stadion (38,199)"
VfL Bochum, 2, 1, Bayer Leverkusen, "Saturday, February 8, 2003"," Ruhr Stadium (39,962)"
VfL Wolfsburg, 2, 0, Arminia Bielefeld, "Saturday, February 8, 2003"," VFL-Stadion (15,976)"
Werder Bremen, 1, 2, TSV 1860 Munich, "Saturday, February 8, 2003"," Weserstadion (34,000)"
Borussia Dortmund, 2, 0, Bayer Leverkusen, "Sunday, February 2, 2003"," Westfalenstadion (68,000)"
Hamburg SV, 1, 0, Werder Bremen, "Sunday, February 2, 2003"," Volksparkstadion (46,742)"
Arminia Bielefeld, 0, 0, Bayern Munich, "Saturday, February 1, 2003"," Almstadion (26,500)"
Energie Cottbus, 2, 1, VfL Bochum, "Saturday, February 1, 2003"," Stadion der Freundschaft (10,804)"
Nurnberg, 0, 1, Hansa Rostock, "Saturday, February 1, 2003"," Frankenstadion (17,400)"
Schalke 04, 2, 2, Kaiserslautern, "Saturday, February 1, 2003"," Arena Auf Schalke (60,600)"
TSV 1860 Munich, 0, 1, Hannover 96, "Saturday, February 1, 2003"," Olympiastadion (18,000)"
VfB Stuttgart, 3, 1, Hertha Berlin, "Saturday, February 1, 2003"," Gottlieb-Daimler Stadion (18,000)"
Bayer Leverkusen, 0, 3, Energie Cottbus, "Sunday, January 26, 2003"," BayArena (22,500)"
Bayern Munich, 3, 0, Borussia Monchengladbach, "Sunday, January 26, 2003"," Olympiastadion (40,000)"
Hannover 96, 2, 2, Hamburg SV, "Saturday, January 25, 2003"," Niedersachsenstadion (43,183)"
Hansa Rostock, 1, 4, TSV 1860 Munich, "Saturday, January 25, 2003"," Ostseestadion (12,000)"
Hertha Berlin, 2, 1, Borussia Dortmund, "Saturday, January 25, 2003"," Olympia Stadium (47,000)"
Kaiserslautern, 1, 2, VfB Stuttgart, "Saturday, January 25, 2003"," Fritz-Walter Stadion (36,692)"
VfL Bochum, 2, 1, Nurnberg, "Saturday, January 25, 2003"," Ruhr Stadium (20,280)"
VfL Wolfsburg, 1, 2, Schalke 04, "Saturday, January 25, 2003"," VFL-Stadion (26,127)"
Werder Bremen, 2, 2, Arminia Bielefeld, "Saturday, January 25, 2003"," Weserstadion (29,604)"
Kaiserslautern, 2, 1, Hertha Berlin, "Sunday, December 15, 2002"," Fritz-Walter Stadion (33,100)"
VfL Wolfsburg, 1, 2, VfB Stuttgart, "Sunday, December 15, 2002"," VFL-Stadion (24,147)"
Bayer Leverkusen, 0, 2, Nurnberg, "Saturday, December 14, 2002"," BayArena (22,500)"
Bayern Munich, 0, 0, Schalke 04, "Saturday, December 14, 2002"," Olympiastadion (51,000)"
Energie Cottbus, 0, 4, Borussia Dortmund, "Saturday, December 14, 2002"," Stadion der Freundschaft (13,195)"
Hannover 96, 0, 0, Arminia Bielefeld, "Saturday, December 14, 2002"," Niedersachsenstadion (27,962)"
Hansa Rostock, 0, 0, Hamburg SV, "Saturday, December 14, 2002"," Ostseestadion (21,400)"
VfL Bochum, 1, 1, TSV 1860 Munich, "Saturday, December 14, 2002"," Ruhr Stadium (18,000)"
Werder Bremen, 2, 0, Borussia Monchengladbach, "Saturday, December 14, 2002"," Weserstadion (32,188)"
Borussia Monchengladbach, 1, 0, Hannover 96, "Sunday, December 8, 2002"," Stadium Bokelberg (24,500)"
Hamburg SV, 1, 1, VfL Bochum, "Sunday, December 8, 2002"," Volksparkstadion (39,820)"
Arminia Bielefeld, 3, 0, Hansa Rostock, "Saturday, December 7, 2002"," Almstadion (19,109)"
Borussia Dortmund, 3, 1, Kaiserslautern, "Saturday, December 7, 2002"," Westfalenstadion (68,000)"
Hertha Berlin, 2, 2, VfL Wolfsburg, "Saturday, December 7, 2002"," Olympia Stadium (28,000)"
Nurnberg, 2, 2, Energie Cottbus, "Saturday, December 7, 2002"," Frankenstadion (17,600)"
Schalke 04, 1, 1, Werder Bremen, "Saturday, December 7, 2002"," Arena Auf Schalke (60,600)"
TSV 1860 Munich, 0, 3, Bayer Leverkusen, "Saturday, December 7, 2002"," Olympiastadion (20,000)"
VfB Stuttgart, 0, 3, Bayern Munich, "Saturday, December 7, 2002"," Gottlieb-Daimler Stadion (53,700)"
Hannover 96, 0, 2, Schalke 04, "Sunday, December 1, 2002"," Niedersachsenstadion (48,696)"
Werder Bremen, 3, 1, VfB Stuttgart, "Sunday, December 1, 2002"," Weserstadion (32,473)"
Bayer Leverkusen, 2, 3, Hamburg SV, "Saturday, November 30, 2002"," BayArena (22,500)"
Bayern Munich, 2, 0, Hertha Berlin, "Saturday, November 30, 2002"," Olympiastadion (40,000)"
Energie Cottbus, 3, 4, TSV 1860 Munich, "Saturday, November 30, 2002"," Stadion der Freundschaft (10,645)"
Hansa Rostock, 3, 1, Borussia Monchengladbach, "Saturday, November 30, 2002"," Ostseestadion (15,000)"
Kaiserslautern, 2, 0, VfL Wolfsburg, "Saturday, November 30, 2002"," Fritz-Walter Stadion (30,000)"
Nurnberg, 1, 2, Borussia Dortmund, "Saturday, November 30, 2002"," Frankenstadion (36,000)"
VfL Bochum, 0, 3, Arminia Bielefeld, "Saturday, November 30, 2002"," Ruhr Stadium (20,071)"
Hamburg SV, 1, 1, Energie Cottbus, "Sunday, November 24, 2002"," Volksparkstadion (37,403)"
TSV 1860 Munich, 2, 2, Nurnberg, "Sunday, November 24, 2002"," Olympiastadion (32,000)"
Arminia Bielefeld, 2, 2, Bayer Leverkusen, "Saturday, November 23, 2002"," Almstadion (24,100)"
Borussia Monchengladbach, 2, 2, VfL Bochum, "Saturday, November 23, 2002"," Stadium Bokelberg (28,300)"
Hertha Berlin, 0, 1, Werder Bremen, "Saturday, November 23, 2002"," Olympia Stadium (49,166)"
Kaiserslautern, 0, 2, Bayern Munich, "Saturday, November 23, 2002"," Fritz-Walter Stadion (40,000)"
Schalke 04, 2, 2, Hansa Rostock, "Saturday, November 23, 2002"," Arena Auf Schalke (60,600)"
VfB Stuttgart, 3, 0, Hannover 96, "Saturday, November 23, 2002"," Gottlieb-Daimler Stadion (46,000)"
VfL Wolfsburg, 2, 0, Borussia Dortmund, "Saturday, November 23, 2002"," VFL-Stadion (19,297)"
VfL Bochum, 0, 2, Schalke 04, "Sunday, November 17, 2002"," Ruhr Stadium (32,645)"
Werder Bremen, 5, 3, Kaiserslautern, "Sunday, November 17, 2002"," Weserstadion (28,200)"
Bayer Leverkusen, 2, 2, Borussia Monchengladbach, "Saturday, November 16, 2002"," BayArena (22,500)"
Bayern Munich, 1, 0, VfL Wolfsburg, "Saturday, November 16, 2002"," Olympiastadion (44,000)"
Borussia Dortmund, 1, 0, TSV 1860 Munich, "Saturday, November 16, 2002"," Westfalenstadion (68,600)"
Energie Cottbus, 2, 1, Arminia Bielefeld, "Saturday, November 16, 2002"," Stadion der Freundschaft (12,628)"
Hannover 96, 0, 1, Hertha Berlin, "Saturday, November 16, 2002"," Niedersachsenstadion (38,794)"
Hansa Rostock, 1, 1, VfB Stuttgart, "Saturday, November 16, 2002"," Ostseestadion (14,000)"
Nurnberg, 1, 3, Hamburg SV, "Saturday, November 16, 2002"," Frankenstadion (26,000)"
Kaiserslautern, 0, 2, VfL Bochum, "Wednesday, November 13, 2002"," Fritz-Walter Stadion (36,209)"
Borussia Monchengladbach, 3, 0, Energie Cottbus, "Sunday, November 10, 2002"," Stadium Bokelberg (23,200)"
Hertha Berlin, 3, 1, Hansa Rostock, "Sunday, November 10, 2002"," Olympia Stadium (40,000)"
Arminia Bielefeld, 0, 1, Nurnberg, "Saturday, November 9, 2002"," Almstadion (18,153)"
Bayern Munich, 2, 1, Borussia Dortmund, "Saturday, November 9, 2002"," Olympiastadion (63,000)"
Hamburg SV, 1, 0, TSV 1860 Munich, "Saturday, November 9, 2002"," Volksparkstadion (36,370)"
Kaiserslautern, 0, 1, Hannover 96, "Saturday, November 9, 2002"," Fritz-Walter Stadion (32,231)"
Schalke 04, 0, 1, Bayer Leverkusen, "Saturday, November 9, 2002"," Arena Auf Schalke (60,600)"
VfB Stuttgart, 3, 2, VfL Bochum, "Saturday, November 9, 2002"," Gottlieb-Daimler Stadion (21,000)"
VfL Wolfsburg, 3, 1, Werder Bremen, "Saturday, November 9, 2002"," VFL-Stadion (12,613)"
VfL Bochum, 3, 0, Hertha Berlin, "Sunday, November 3, 2002"," Ruhr Stadium (22,000)"
Werder Bremen, 2, 0, Bayern Munich, "Sunday, November 3, 2002"," Weserstadion (40,200)"
Bayer Leverkusen, 0, 1, VfB Stuttgart, "Saturday, November 2, 2002"," BayArena (22,500)"
Borussia Dortmund, 1, 1, Hamburg SV, "Saturday, November 2, 2002"," Westfalenstadion (68,600)"
Energie Cottbus, 0, 1, Schalke 04, "Saturday, November 2, 2002"," Stadion der Freundschaft (13,340)"
Hannover 96, 3, 1, VfL Wolfsburg, "Saturday, November 2, 2002"," Niedersachsenstadion (38,686)"
Hansa Rostock, 2, 2, Kaiserslautern, "Saturday, November 2, 2002"," Ostseestadion (18,400)"
Nurnberg, 2, 1, Borussia Monchengladbach, "Saturday, November 2, 2002"," Frankenstadion (30,600)"
TSV 1860 Munich, 3, 1, Arminia Bielefeld, "Saturday, November 2, 2002"," Olympiastadion (22,500)"
VfL Wolfsburg, 1, 0, Hansa Rostock, "Sunday, October 27, 2002"," VFL-Stadion (11,612)"
Arminia Bielefeld, 2, 1, Hamburg SV, "Saturday, October 26, 2002"," Almstadion (25,169)"
Bayern Munich, 3, 3, Hannover 96, "Saturday, October 26, 2002"," Olympiastadion (52,000)"
Borussia Monchengladbach, 0, 1, TSV 1860 Munich, "Saturday, October 26, 2002"," Stadium Bokelberg (26,900)"
Hertha Berlin, 1, 1, Bayer Leverkusen, "Saturday, October 26, 2002"," Olympia Stadium "
Schalke 04, 1, 1, Nurnberg, "Saturday, October 26, 2002"," Arena Auf Schalke (60,600)"
VfB Stuttgart, 0, 0, Energie Cottbus, "Saturday, October 26, 2002"," Gottlieb-Daimler Stadion (23,000)"
Werder Bremen, 1, 4, Borussia Dortmund, "Saturday, October 26, 2002"," Weserstadion (37,100)"
Nurnberg, 1, 2, VfB Stuttgart, "Sunday, October 20, 2002"," Frankenstadion (29,500)"
VfL Bochum, 4, 2, VfL Wolfsburg, "Sunday, October 20, 2002"," Ruhr Stadium (18,858)"
Bayer Leverkusen, 1, 0, Kaiserslautern, "Saturday, October 19, 2002"," BayArena (22,500)"
Borussia Dortmund, 0, 0, Arminia Bielefeld, "Saturday, October 19, 2002"," Westfalenstadion (68,600)"
Energie Cottbus, 0, 2, Hertha Berlin, "Saturday, October 19, 2002"," Stadion der Freundschaft (13,612)"
Hamburg SV, 1, 0, Borussia Monchengladbach, "Saturday, October 19, 2002"," Volksparkstadion (49,000)"
Hannover 96, 4, 4, Werder Bremen, "Saturday, October 19, 2002"," Niedersachsenstadion (45,958)"
Hansa Rostock, 0, 1, Bayern Munich, "Saturday, October 19, 2002"," Ostseestadion (29,500)"
TSV 1860 Munich, 3, 0, Schalke 04, "Saturday, October 19, 2002"," Olympiastadion (30,000)"
VfB Stuttgart, 4, 1, TSV 1860 Munich, "Sunday, October 6, 2002"," Gottlieb-Daimler Stadion (21,000)"
Werder Bremen, 0, 0, Hansa Rostock, "Sunday, October 6, 2002"," Weserstadion (32,300)"
Bayern Munich, 4, 1, VfL Bochum, "Saturday, October 5, 2002"," Olympiastadion (63,000)"
Borussia Monchengladbach, 3, 0, Arminia Bielefeld, "Saturday, October 5, 2002"," Stadium Bokelberg (26,600)"
Hannover 96, 0, 3, Borussia Dortmund, "Saturday, October 5, 2002"," Niedersachsenstadion (48,696)"
Hertha Berlin, 2, 1, Nurnberg, "Saturday, October 5, 2002"," Olympia Stadium (30,000)"
Kaiserslautern, 4, 0, Energie Cottbus, "Saturday, October 5, 2002"," Fritz-Walter Stadion (28,000)"
Schalke 04, 3, 0, Hamburg SV, "Saturday, October 5, 2002"," Arena Auf Schalke (60,601)"
VfL Wolfsburg, 2, 0, Bayer Leverkusen, "Saturday, October 5, 2002"," VFL-Stadion (14,243)"
Nurnberg, 1, 0, Kaiserslautern, "Sunday, September 29, 2002"," Frankenstadion (30,200)"
VfL Bochum, 1, 4, Werder Bremen, "Sunday, September 29, 2002"," Ruhr Stadium (26,171)"
Arminia Bielefeld, 2, 1, Schalke 04, "Saturday, September 28, 2002"," Almstadion (26,601)"
Bayer Leverkusen, 2, 1, Bayern Munich, "Saturday, September 28, 2002"," BayArena (22,500)"
Borussia Dortmund, 1, 0, Borussia Monchengladbach, "Saturday, September 28, 2002"," Westfalenstadion (68,600)"
Energie Cottbus, 0, 1, VfL Wolfsburg, "Saturday, September 28, 2002"," Stadion der Freundschaft (12,000)"
Hamburg SV, 3, 2, VfB Stuttgart, "Saturday, September 28, 2002"," Volksparkstadion (36,740)"
Hansa Rostock, 1, 2, Hannover 96, "Saturday, September 28, 2002"," Ostseestadion (19,000)"
TSV 1860 Munich, 1, 0, Hertha Berlin, "Saturday, September 28, 2002"," Olympiastadion (25,200)"
Schalke 04, 2, 1, Borussia Monchengladbach, "Sunday, September 22, 2002"," Arena Auf Schalke (60,601)"
VfB Stuttgart, 3, 0, Arminia Bielefeld, "Sunday, September 22, 2002"," Gottlieb-Daimler Stadion (15,000)"
