home, homescore, awayscore, away, date, group
Mainz, 2, 1, Hannover 96, "Saturday, December 1, 2012", Coface Arena (28,277)
Schalke 04, 1, 1, Borussia Monchengladbach, "Saturday, December 1, 2012", Veltins Arena (61,673)
SpVgg Greuther Furth, 0, 1, VfB Stuttgart, "Saturday, December 1, 2012", Playmobil-Stadion (17,443)
Bayern Munich, 1, 1, Borussia Dortmund, "Saturday, December 1, 2012", Allianz Arena (71,000)
Fortuna DÃ¼sseldorf, 4, 0, Eintracht Frankfurt, "Friday, November 30, 2012", Espirit Arena (51,345)
Borussia Monchengladbach, 2, 0, VfL Wolfsburg, "Wednesday, November 28, 2012", Borussia Park (40,165)
SC Freiburg, 0, 2, Bayern Munich, "Wednesday, November 28, 2012", badenova-Stadion (24,000)
VfB Stuttgart, 2, 1, FC Augsburg, "Wednesday, November 28, 2012", Mercedes-Benz Arena (38,940)
Werder Bremen, 1, 4, Bayer Leverkusen, "Wednesday, November 28, 2012", Weserstadion (37,231)
Nurnberg, 4, 2, TSG Hoffenheim, "Wednesday, November 28, 2012", easyCredit Stadion (30,397)
Borussia Dortmund, 1, 1, Fortuna DÃ¼sseldorf, "Tuesday, November 27, 2012", Signal Iduna Park (80,100)
Eintracht Frankfurt, 1, 3, Mainz, "Tuesday, November 27, 2012", Commerzbank Arena (47,800)
Hamburg SV, 3, 1, Schalke 04, "Tuesday, November 27, 2012", Imtech Arena (47,127)
Hannover 96, 2, 0, SpVgg Greuther Furth, "Tuesday, November 27, 2012", AWD-Arena (32,300)
SC Freiburg, 3, 0, VfB Stuttgart, "Sunday, November 25, 2012", badenova-Stadion (24,000)
FC Augsburg, 1, 1, Borussia Monchengladbach, "Sunday, November 25, 2012", impuls arena (30,045)
TSG Hoffenheim, 1, 2, Bayer Leverkusen, "Sunday, November 25, 2012", Rhein-Neckar Arena (22,100)
Bayern Munich, 5, 0, Hannover 96, "Saturday, November 24, 2012", Allianz Arena (71,000)
Mainz, 1, 2, Borussia Dortmund, "Saturday, November 24, 2012", Coface Arena (34,000)
Schalke 04, 1, 1, Eintracht Frankfurt, "Saturday, November 24, 2012", Veltins Arena (61,673)
SpVgg Greuther Furth, 0, 0, Nurnberg, "Saturday, November 24, 2012", Playmobil-Stadion (18,000)
