home, homescore, awayscore, away, date, group
Nice, 2, 0, Lille, "Saturday, February 4, 2006", "Municipal du Ray "
Sochaux, 0, 0, Le Mans, "Saturday, February 4, 2006", "Auguste-Bonal "
Stade Rennes, 1, 3, AS Monaco, "Saturday, February 4, 2006", "Route de Lorient  (25,965)"
Toulouse, 1, 0, Nantes, "Saturday, February 4, 2006", "Stadium Municipal "
St Etienne, 1, 3, Toulouse, "Wednesday, February 1, 2006", "Geoffroy-Guichard (24,296)"
Lille, 3, 1, Metz, "Sunday, January 29, 2006", "Lille Metropole (12,104)"
Bordeaux, 1, 0, Lens, "Saturday, January 28, 2006", "Parc Lescure (21,575)"
AJ Auxerre, 2, 0, Stade Rennes, "Saturday, January 28, 2006", "Abbe-Deschamps (6,000)"
AS Nancy Lorraine, 0, 0, AC Ajaccio, "Saturday, January 28, 2006", "Marcel-Picot "
Le Mans, 1, 1, Toulouse, "Saturday, January 28, 2006", "Leon Bollee (8,496)"
Marseille, 0, 0, Sochaux, "Saturday, January 28, 2006", "Velodrome (21,000)"
Lens, 1, 1, AS Monaco, "Sunday, January 22, 2006", "Felix-Bollaert  "
Lyon, 1, 1, AJ Auxerre, "Sunday, January 22, 2006", "Municipal De Gerland "
AC Ajaccio, 3, 1, Marseille, "Saturday, January 21, 2006", "Francois-Coty  (5,500)"
Bordeaux, 2, 1, Strasbourg, "Saturday, January 21, 2006", "Parc Lescure (18,208)"
Metz, 1, 4, Nantes, "Saturday, January 21, 2006", "Saint-Symphorien  (12,369)"
Nice, 1, 0, Paris Saint-Germain , "Saturday, January 21, 2006", "Municipal du Ray (11,941)"
Sochaux, 4, 0, St Etienne, "Saturday, January 21, 2006", "Auguste-Bonal (13,566)"
Stade Rennes, 0, 2, AS Nancy Lorraine, "Saturday, January 21, 2006", "Route de Lorient  (24,142)"
Toulouse, 0, 0, Lille, "Saturday, January 21, 2006", "Stadium Municipal (15,416)"
Troyes, 1, 3, Le Mans, "Saturday, January 21, 2006", "Stade l'Aube "
Paris Saint-Germain , 2, 1, Troyes, "Sunday, January 15, 2006", "Parc de Princes (35,118)"
Marseille, 1, 0, Stade Rennes, "Sunday, January 15, 2006", "Velodrome (45,211)"
AS Nancy Lorraine, 0, 2, Lyon, "Saturday, January 14, 2006", "Marcel-Picot "
AJ Auxerre, 1, 0, Lens, "Saturday, January 14, 2006", "Abbe-Deschamps (8,000)"
AS Monaco, 0, 1, Bordeaux, "Saturday, January 14, 2006", "Stade Louis II (11,476)"
Le Mans, 1, 0, AC Ajaccio, "Saturday, January 14, 2006", "Leon Bollee "
Lille, 3, 0, Sochaux, "Saturday, January 14, 2006", "Lille Metropole "
Nantes, 0, 0, Nice, "Saturday, January 14, 2006", "La Beaujoire (25,000)"
Strasbourg, 2, 1, Metz, "Saturday, January 14, 2006", "La Meinau (15,000)"
Toulouse, 1, 0, Paris Saint-Germain , "Thursday, January 12, 2006", "Stadium Municipal (20,321)"
Bordeaux, 1, 0, AJ Auxerre, "Wednesday, January 11, 2006", "Parc Lescure (17,965)"
AC Ajaccio, 0, 2, Nantes, "Wednesday, January 11, 2006", "Francois-Coty  (3,000)"
AS Monaco, 1, 1, Strasbourg, "Wednesday, January 11, 2006", "Stade Louis II (5,500)"
Lens, 1, 2, AS Nancy Lorraine, "Wednesday, January 11, 2006", "Felix-Bollaert  (32,000)"
Metz, 0, 1, St Etienne, "Wednesday, January 11, 2006", "Saint-Symphorien  (12,273)"
Sochaux, 1, 1, Nice, "Wednesday, January 11, 2006", "Auguste-Bonal (11,885)"
Stade Rennes, 1, 0, Le Mans, "Wednesday, January 11, 2006", "Route de Lorient  (20,684)"
Troyes, 1, 0, Lille, "Wednesday, January 11, 2006", "Stade l'Aube (10,212)"
Lyon, 2, 1, Marseille, "Wednesday, January 11, 2006", "Municipal De Gerland (38,912)"
AJ Auxerre, 2, 1, AS Monaco, "Thursday, January 5, 2006", "Abbe-Deschamps "
Strasbourg, 0, 4, Lyon, "Wednesday, January 4, 2006", "La Meinau (19,735)"
AS Nancy Lorraine, 0, 0, Bordeaux, "Wednesday, January 4, 2006", "Marcel-Picot (15,000)"
Le Mans, 2, 0, Metz, "Wednesday, January 4, 2006", "Leon Bollee (10,000)"
Lille, 2, 0, AC Ajaccio, "Wednesday, January 4, 2006", "Lille Metropole "
Nantes, 0, 2, Stade Rennes, "Wednesday, January 4, 2006", "La Beaujoire (30,000)"
Nice, 2, 1, Toulouse, "Wednesday, January 4, 2006", "Municipal du Ray (8,776)"
Paris Saint-Germain , 3, 1, Sochaux, "Wednesday, January 4, 2006", "Parc de Princes "
St Etienne, 1, 1, Troyes, "Wednesday, January 4, 2006", "Geoffroy-Guichard (25,641)"
Marseille, 1, 1, Lens, "Wednesday, January 4, 2006", "Velodrome "
AS Monaco, 1, 0, Toulouse, "Sunday, December 18, 2005", "Stade Louis II (9,107)"
Lens, 2, 0, Le Mans, "Sunday, December 18, 2005", "Felix-Bollaert  (39,314)"
AC Ajaccio, 1, 1, Paris Saint-Germain , "Saturday, December 17, 2005", "Francois-Coty  (4,500)"
AJ Auxerre, 0, 1, AS Nancy Lorraine, "Saturday, December 17, 2005", "Abbe-Deschamps (7,000)"
Bordeaux, 0, 0, Nantes, "Saturday, December 17, 2005", "Parc Lescure (21,606)"
Metz, 1, 0, Nice, "Saturday, December 17, 2005", "Saint-Symphorien  (12,186)"
Stade Rennes, 0, 1, St Etienne, "Saturday, December 17, 2005", "Route de Lorient  (28,221)"
Strasbourg, 0, 1, Marseille, "Saturday, December 17, 2005", "La Meinau (27,786)"
Troyes, 2, 1, Sochaux, "Saturday, December 17, 2005", "Stade l'Aube (18,585)"
Lyon, 1, 3, Lille, "Friday, December 16, 2005", "Municipal De Gerland (36,000)"
