home, homescore, awayscore, away, date, stadium
Bayern Munich, 1, 0, Werder Bremen, "Saturday, March 5, 2005"," Olympiastadion (61,000)"
Borussia Monchengladbach, 1, 0, VfL Wolfsburg, "Saturday, March 5, 2005"," Borussia-Park (43,526)"
Hamburg SV, 1, 0, Bayer Leverkusen, "Saturday, March 5, 2005"," AOL-Arena (43,959)"
Hannover 96, 0, 1, Hansa Rostock, "Saturday, March 5, 2005"," AWD-Arena (26,434)"
Mainz, 5, 0, SC Freiburg, "Saturday, March 5, 2005"," Stadion am Bruchweg (20,300)"
VfB Stuttgart, 2, 1, Arminia Bielefeld, "Saturday, March 5, 2005"," Gottlieb-Daimler Stadion (28,000)"
VfL Bochum, 0, 2, Schalke 04, "Saturday, March 5, 2005"," Ruhrstadion (33,324)"
Bayer Leverkusen, 1, 1, VfB Stuttgart, "Sunday, February 27, 2005"," BayArena (22,500)"
Schalke 04, 1, 0, Hannover 96, "Sunday, February 27, 2005"," Arena AufSchalke (60,000)"
Arminia Bielefeld, 3, 1, Nurnberg, "Saturday, February 26, 2005"," Schuco-Arena (16,500)"
Borussia Dortmund, 3, 0, Mainz, "Saturday, February 26, 2005"," Westfalenstadion (73,500)"
Hansa Rostock, 0, 0, Borussia Monchengladbach, "Saturday, February 26, 2005"," Ostseestadion (12,000)"
Hertha Berlin, 4, 1, Hamburg SV, "Saturday, February 26, 2005"," Olympiastadion (40,399)"
Kaiserslautern, 0, 0, VfL Wolfsburg, "Saturday, February 26, 2005"," Fritz-Walter Stadion (31,300)"
SC Freiburg, 0, 1, Bayern Munich, "Saturday, February 26, 2005"," badenova-Stadion (25,000)"
Werder Bremen, 4, 0, VfL Bochum, "Saturday, February 26, 2005"," Weserstadion (37,000)"
Borussia Monchengladbach, 1, 3, Schalke 04, "Sunday, February 20, 2005"," Borussia-Park (53,415)"
VfB Stuttgart, 1, 0, Hertha Berlin, "Sunday, February 20, 2005"," Gottlieb-Daimler Stadion (29,000)"
Bayern Munich, 5, 0, Borussia Dortmund, "Saturday, February 19, 2005"," Olympiastadion (53,000)"
Hamburg SV, 2, 1, Kaiserslautern, "Saturday, February 19, 2005"," AOL-Arena (59,016)"
Hannover 96, 1, 4, Werder Bremen, "Saturday, February 19, 2005"," AWD-Arena (41,862)"
Mainz, 0, 0, Arminia Bielefeld, "Saturday, February 19, 2005"," Stadion am Bruchweg (20,300)"
Nurnberg, 2, 4, Bayer Leverkusen, "Saturday, February 19, 2005"," Frankenstadion (20,216)"
VfL Bochum, 3, 1, SC Freiburg, "Saturday, February 19, 2005"," Ruhrstadion (18,000)"
VfL Wolfsburg, 4, 0, Hansa Rostock, "Saturday, February 19, 2005"," Volkswagen Arena (17,836)"
Arminia Bielefeld, 3, 1, Bayern Munich, "Sunday, February 13, 2005"," Schuco-Arena (26,500)"
Bayer Leverkusen, 2, 0, Mainz, "Sunday, February 13, 2005"," BayArena (22,500)"
Borussia Dortmund, 1, 0, VfL Bochum, "Saturday, February 12, 2005"," Westfalenstadion (78,000)"
Hamburg SV, 2, 1, VfB Stuttgart, "Saturday, February 12, 2005"," AOL-Arena (49,000)"
Hertha Berlin, 2, 1, Nurnberg, "Saturday, February 12, 2005"," Olympiastadion (38,000)"
Kaiserslautern, 2, 1, Hansa Rostock, "Saturday, February 12, 2005"," Fritz-Walter Stadion (28,000)"
SC Freiburg, 0, 0, Hannover 96, "Saturday, February 12, 2005"," badenova-Stadion (21,000)"
Schalke 04, 3, 0, VfL Wolfsburg, "Saturday, February 12, 2005"," Arena AufSchalke (61,524)"
Werder Bremen, 2, 0, Borussia Monchengladbach, "Saturday, February 12, 2005"," Weserstadion (39,673)"
Borussia Monchengladbach, 3, 2, SC Freiburg, "Sunday, February 6, 2005"," Borussia-Park (40,450)"
VfL Wolfsburg, 2, 3, Werder Bremen, "Sunday, February 6, 2005"," Volkswagen Arena (24,231)"
Bayern Munich, 2, 0, Bayer Leverkusen, "Saturday, February 5, 2005"," Olympiastadion (45,000)"
