home,homescore,awayscore,away,date,location
Stade de Reims,0,0,Nantes,"Saturday, August 31, 2013","Auguste Delaune (15,304)"
Stade Rennes,0,0,Lille,"Saturday, August 31, 2013","Route de Lorient  (20,307)"
Lille,1,0,St Etienne,"Sunday, August 25, 2013","Grand Stade Lille Metropole (35,866)"
AC Ajaccio,0,0,Nice,"Sunday, August 25, 2013","Francois-Coty  (6,991)"
Nantes,1,2,Paris Saint-Germain ,"Sunday, August 25, 2013","La Beaujoire (35,867)"
Valenciennes,0,1,Marseille,"Saturday, August 24, 2013","Stade Nungesser (19,007)"
Bordeaux,1,0,Bastia,"Saturday, August 24, 2013","Chaban-Delmas (15,240)"
Evian Thonon Gaillard,1,2,Stade Rennes,"Saturday, August 24, 2013","Parc des Sports (8,062)"
Guingamp,2,0,Lorient,"Saturday, August 24, 2013","Du Roudourou (15,114)"
Lyon,0,1,Stade de Reims,"Saturday, August 24, 2013","Municipal De Gerland (24,238)"
Montpellier,2,1,Sochaux,"Saturday, August 24, 2013","La Mosson (12,677)"
AS Monaco,0,0,Toulouse,"Friday, August 23, 2013","Stade Louis II (1)"
AS Monaco,4,1,Montpellier,"Sunday, August 18, 2013","Stade Louis II (14,753)"
Lorient,2,1,Nantes,"Sunday, August 18, 2013","Stade du Moustoir (16,614)"
Paris Saint-Germain ,1,1,AC Ajaccio,"Sunday, August 18, 2013","Parc des Princes (44,413)"
Marseille,2,0,Evian Thonon Gaillard,"Saturday, August 17, 2013","Stade Velodrome (42,524)"
Bastia,2,0,Valenciennes,"Saturday, August 17, 2013","Armand-Cesari-Furiani (15,425)"
Nice,2,1,Stade Rennes,"Saturday, August 17, 2013","Municipal du Ray "
St Etienne,1,0,Guingamp,"Saturday, August 17, 2013","Geoffroy-Guichard (26,481)"
Stade de Reims,2,1,Lille,"Saturday, August 17, 2013","Auguste Delaune (14,199)"
Toulouse,1,1,Bordeaux,"Saturday, August 17, 2013","Stadium Municipal (13,111)"
Sochaux,1,3,Lyon,"Friday, August 16, 2013","Auguste-Bonal (13,857)"
AC Ajaccio,0,1,St Etienne,"Sunday, August 11, 2013","Francois-Coty  (7,948)"
Guingamp,1,3,Marseille,"Sunday, August 11, 2013","Du Roudourou (18,155)"
Bordeaux,0,2,AS Monaco,"Saturday, August 10, 2013","Chaban-Delmas (32,158)"
Evian Thonon Gaillard,1,1,Sochaux,"Saturday, August 10, 2013","Parc des Sports (10,287)"
Lille,1,0,Lorient,"Saturday, August 10, 2013","Grand Stade Lille Metropole (36,362)"
Lyon,4,0,Nice,"Saturday, August 10, 2013","Municipal De Gerland (23,552)"
Nantes,2,0,Bastia,"Saturday, August 10, 2013","La Beaujoire (24,727)"
Stade Rennes,2,1,Stade de Reims,"Saturday, August 10, 2013","Route de Lorient  (17,068)"
Valenciennes,3,0,Toulouse,"Saturday, August 10, 2013","Stade Nungesser (12,261)"
Montpellier,1,1,Paris Saint-Germain ,"Friday, August 9, 2013","La Mosson (27,717)"
