home, homescore, awayscore, away, date, group
Real Madrid, 2, 1, Espanyol, "Saturday, March 8, 2008", "Santiago Bernabéu (70,000)"
Real Zaragoza, 2, 1, Atletico Madrid, "Saturday, March 8, 2008", "La Romareda (31,000)"
Getafe, 3, 3, Mallorca, "Sunday, March 2, 2008", "Coliseum Alfonso Pérez (10,000)"
Levante, 2, 1, Real Zaragoza, "Sunday, March 2, 2008", "Ciutat de València (14,640)"
Real Betis, 4, 0, Murcia, "Sunday, March 2, 2008", "Benito Villamarín (42,000)"
Real Valladolid, 0, 1, Racing Santander, "Sunday, March 2, 2008", "José Zorrilla (19,179)"
Villarreal, 0, 0, Osasuna, "Sunday, March 2, 2008", "El Madrigal (19,500)"
Almeria, 1, 1, Athletic Bilbao, "Sunday, March 2, 2008", "Juegos Mediterráneos (15,000)"
Atletico Madrid, 4, 2, Barcelona, "Saturday, March 1, 2008", "Vicente Calderón (55,000)"
Deportivo La Coruña, 2, 1, Sevilla FC, "Saturday, March 1, 2008", "Municipal de Riazor (25,000)"
Recreativo Huelva, 2, 3, Real Madrid, "Saturday, March 1, 2008", "Nuevo Colombino (21,000)"
Espanyol, 2, 0, Valencia, "Saturday, March 1, 2008", "Estadio Olimpico de Montjuic (25,000)"
Athletic Bilbao, 1, 2, Villarreal, "Sunday, February 24, 2008", "Antiguo San Mamés (40,000)"
Deportivo La Coruña, 2, 0, Espanyol, "Sunday, February 24, 2008", "Municipal de Riazor (15,000)"
Mallorca, 1, 1, Real Betis, "Sunday, February 24, 2008", "Iberostar Estadi (15,000)"
Murcia, 0, 1, Real Valladolid, "Sunday, February 24, 2008", "Nueva Condomina (10,000)"
Osasuna, 3, 1, Atletico Madrid, "Sunday, February 24, 2008", "El Sadar (18,000)"
Racing Santander, 1, 0, Almeria, "Sunday, February 24, 2008", "El Sardinero (20,600)"
Barcelona, 5, 1, Levante, "Sunday, February 24, 2008", "Camp Nou (76,000)"
Real Madrid, 0, 1, Getafe, "Sunday, February 24, 2008", "Santiago Bernabéu (60,000)"
Valencia, 1, 1, Recreativo Huelva, "Saturday, February 23, 2008", "Mestalla (47,000)"
Sevilla FC, 5, 0, Real Zaragoza, "Saturday, February 23, 2008", "Ramón Sánchez Pizjuán (20,000)"
Almeria, 1, 0, Murcia, "Sunday, February 17, 2008", "Juegos Mediterráneos (17,000)"
Levante, 2, 1, Osasuna, "Sunday, February 17, 2008", "Ciutat de València (8,457)"
Real Valladolid, 1, 1, Mallorca, "Sunday, February 17, 2008", "José Zorrilla (16,408)"
Recreativo Huelva, 3, 2, Deportivo La Coruña, "Sunday, February 17, 2008", "Nuevo Colombino (14,000)"
Villarreal, 0, 0, Racing Santander, "Sunday, February 17, 2008", "El Madrigal (20,000)"
Getafe, 0, 0, Valencia, "Sunday, February 17, 2008", "Coliseum Alfonso Pérez (12,000)"
Atletico Madrid, 1, 2, Athletic Bilbao, "Sunday, February 17, 2008", "Vicente Calderón (30,000)"
Espanyol, 2, 4, Sevilla FC, "Saturday, February 16, 2008", "Estadio Olimpico de Montjuic (20,048)"
