home, homescore, awayscore, away, date, group
Werder Bremen, 2, 2, VfB Stuttgart, "Saturday, March 6, 2010", Weserstadion (36,000)
Borussia Dortmund, 3, 0, Borussia Monchengladbach, "Saturday, March 6, 2010", Signal Iduna Park (79,800)
Hannover 96, 0, 1, VfL Wolfsburg, "Sunday, February 28, 2010", AWD-Arena (34,312)
Bayern Munich, 1, 0, Hamburg SV, "Sunday, February 28, 2010", Allianz Arena (69,000)
Borussia Monchengladbach, 1, 1, SC Freiburg, "Saturday, February 27, 2010", Borussia-Park (40,419)
Hertha Berlin, 0, 2, TSG Hoffenheim, "Saturday, February 27, 2010", Olympiastadion (37,391)
Mainz, 1, 2, Werder Bremen, "Saturday, February 27, 2010", Stadion am Bruchweg (20,300)
VfB Stuttgart, 2, 1, Eintracht Frankfurt, "Saturday, February 27, 2010", Mercedes-Benz Arena (41,000)
VfL Bochum, 0, 0, Nurnberg, "Saturday, February 27, 2010", rewirpowerSTADION (24,780)
Bayer Leverkusen, 0, 0, FC Cologne, "Saturday, February 27, 2010", BayArena (30,210)
Schalke 04, 2, 1, Borussia Dortmund, "Friday, February 26, 2010", Veltins-Arena (61,673)
SC Freiburg, 0, 3, Hertha Berlin, "Sunday, February 21, 2010", badenova-Stadion (21,600)
VfL Wolfsburg, 2, 1, Schalke 04, "Sunday, February 21, 2010", Volkswagen Arena (30,000)
Werder Bremen, 2, 2, Bayer Leverkusen, "Sunday, February 21, 2010", Weserstadion (37,500)
Borussia Dortmund, 4, 1, Hannover 96, "Saturday, February 20, 2010", Signal Iduna Park (73,700)
FC Cologne, 1, 5, VfB Stuttgart, "Saturday, February 20, 2010", RheinEnergieStadion (55,500)
Hamburg SV, 0, 0, Eintracht Frankfurt, "Saturday, February 20, 2010", Imtech Arena (56,196)
Mainz, 0, 0, VfL Bochum, "Saturday, February 20, 2010", Stadion am Bruchweg (19,000)
Nurnberg, 1, 1, Bayern Munich, "Saturday, February 20, 2010", EasyCredit-Stadion (48,548)
TSG Hoffenheim, 2, 2, Borussia Monchengladbach, "Friday, February 19, 2010", Rhein-Neckar-Arena (30,150)
Schalke 04, 2, 0, FC Cologne, "Sunday, February 14, 2010", Veltins-Arena (61,673)
Eintracht Frankfurt, 2, 1, SC Freiburg, "Sunday, February 14, 2010", Commerzbank Arena (35,000)
Bayer Leverkusen, 2, 1, VfL Wolfsburg, "Saturday, February 13, 2010", BayArena (30,000)
Hannover 96, 1, 5, Werder Bremen, "Saturday, February 13, 2010", AWD-Arena (44,379)
Hertha Berlin, 1, 1, Mainz, "Saturday, February 13, 2010", Olympiastadion (36,715)
VfB Stuttgart, 1, 3, Hamburg SV, "Saturday, February 13, 2010", Mercedes-Benz Arena (41,500)
VfL Bochum, 2, 1, TSG Hoffenheim, "Saturday, February 13, 2010", rewirpowerSTADION (17,104)
Bayern Munich, 3, 1, Borussia Dortmund, "Saturday, February 13, 2010", Allianz Arena (69,000)
Borussia Monchengladbach, 2, 1, Nurnberg, "Friday, February 12, 2010", Borussia-Park (34,297)
Mainz, 1, 0, Borussia Monchengladbach, "Sunday, February 7, 2010", Stadion am Bruchweg (20,300)
Borussia Dortmund, 2, 3, Eintracht Frankfurt, "Sunday, February 7, 2010", Signal Iduna Park (70,400)
FC Cologne, 3, 3, Hamburg SV, "Saturday, February 6, 2010", RheinEnergieStadion (50,000)
SC Freiburg, 0, 0, Schalke 04, "Saturday, February 6, 2010", badenova-Stadion (24,000)
TSG Hoffenheim, 2, 1, Hannover 96, "Saturday, February 6, 2010", Rhein-Neckar-Arena (28,100)
VfL Bochum, 1, 1, Bayer Leverkusen, "Saturday, February 6, 2010", rewirpowerSTADION (22,176)
VfL Wolfsburg, 1, 3, Bayern Munich, "Saturday, February 6, 2010", Volkswagen Arena (30,000)
Nurnberg, 1, 2, VfB Stuttgart, "Saturday, February 6, 2010", EasyCredit-Stadion (40,384)
Werder Bremen, 2, 1, Hertha Berlin, "Friday, February 5, 2010", Weserstadion (35,600)
VfB Stuttgart, 4, 1, Borussia Dortmund, "Sunday, January 31, 2010", Mercedes-Benz Arena (42,000)
Bayer Leverkusen, 3, 1, SC Freiburg, "Sunday, January 31, 2010", BayArena (26,000)
Bayern Munich, 3, 0, Mainz, "Saturday, January 30, 2010", Allianz Arena (69,000)
Borussia Monchengladbach, 4, 3, Werder Bremen, "Saturday, January 30, 2010", Borussia-Park (47,458)
Eintracht Frankfurt, 1, 2, FC Cologne, "Saturday, January 30, 2010", Commerzbank Arena (45,100)
Hannover 96, 1, 3, Nurnberg, "Saturday, January 30, 2010", AWD-Arena (26,722)
Hertha Berlin, 0, 0, VfL Bochum, "Saturday, January 30, 2010", Olympiastadion (38,127)
Schalke 04, 2, 0, TSG Hoffenheim, "Saturday, January 30, 2010", Veltins-Arena (60,402)
Hamburg SV, 1, 1, VfL Wolfsburg, "Friday, January 29, 2010", Imtech Arena (51,845)
VfL Wolfsburg, 2, 3, FC Cologne, "Sunday, January 24, 2010", Volkswagen Arena (27,471)
TSG Hoffenheim, 0, 3, Bayer Leverkusen, "Sunday, January 24, 2010", Rhein-Neckar-Arena (30,150)
Hertha Berlin, 0, 0, Borussia Monchengladbach, "Saturday, January 23, 2010", Olympiastadion (46,090)
Mainz, 1, 0, Hannover 96, "Saturday, January 23, 2010", Stadion am Bruchweg (19,300)
Nurnberg, 1, 1, Eintracht Frankfurt, "Saturday, January 23, 2010", EasyCredit-Stadion (37,464)
VfL Bochum, 2, 2, Schalke 04, "Saturday, January 23, 2010", rewirpowerSTADION (29,008)
Werder Bremen, 2, 3, Bayern Munich, "Saturday, January 23, 2010", Weserstadion (39,100)
Borussia Dortmund, 1, 0, Hamburg SV, "Saturday, January 23, 2010", Signal Iduna Park (80,500)
SC Freiburg, 0, 1, VfB Stuttgart, "Friday, January 22, 2010", badenova-Stadion (23,900)
Schalke 04, 1, 0, Nurnberg, "Sunday, January 17, 2010", Veltins-Arena (61,515)
FC Cologne, 2, 3, Borussia Dortmund, "Sunday, January 17, 2010", RheinEnergieStadion (50,000)
Bayer Leverkusen, 4, 2, Mainz, "Saturday, January 16, 2010", BayArena (28,000)
Borussia Monchengladbach, 1, 2, VfL Bochum, "Saturday, January 16, 2010", Borussia-Park (36,245)
Eintracht Frankfurt, 1, 0, Werder Bremen, "Saturday, January 16, 2010", Commerzbank Arena (45,600)
Hamburg SV, 2, 0, SC Freiburg, "Saturday, January 16, 2010", Imtech Arena (51,448)
Hannover 96, 0, 3, Hertha Berlin, "Saturday, January 16, 2010", AWD-Arena (28,712)
VfB Stuttgart, 3, 1, VfL Wolfsburg, "Saturday, January 16, 2010", Mercedes-Benz Arena (37,000)
Bayern Munich, 2, 0, TSG Hoffenheim, "Friday, January 15, 2010", Allianz Arena (69,000)
Hamburg SV, 2, 1, Werder Bremen, "Sunday, December 20, 2009", Imtech Arena (57,000)
FC Cologne, 3, 0, Nurnberg, "Sunday, December 20, 2009", RheinEnergieStadion (44,500)
Bayer Leverkusen, 3, 2, Borussia Monchengladbach, "Saturday, December 19, 2009", BayArena (30,150)
Bayern Munich, 5, 2, Hertha Berlin, "Saturday, December 19, 2009", Allianz Arena (69,000)
