home, homescore, awayscore, away, date, group
SC Freiburg, 1, 0, Hamburg SV, "Saturday, December 4, 2010", badenova-Stadion (24,000)
VfB Stuttgart, 1, 1, TSG Hoffenheim, "Saturday, December 4, 2010", Mercedes-Benz Arena (36,800)
VfL Wolfsburg, 0, 0, Werder Bremen, "Saturday, December 4, 2010", Volkswagen Arena (30,000)
Schalke 04, 2, 0, Bayern Munich, "Saturday, December 4, 2010", Veltins-Arena (61,673)
St Pauli, 1, 0, Kaiserslautern, "Friday, December 3, 2010", Millerntor-Stadion (24,373)
Werder Bremen, 3, 0, St Pauli, "Sunday, November 28, 2010", Weserstadion (36,400)
FC Cologne, 1, 1, VfL Wolfsburg, "Sunday, November 28, 2010", RheinEnergieStadion (43,000)
Bayern Munich, 4, 1, Eintracht Frankfurt, "Saturday, November 27, 2010", Allianz Arena (69,000)
Hamburg SV, 4, 2, VfB Stuttgart, "Saturday, November 27, 2010", Imtech Arena (53,055)
Hannover 96, 3, 0, SC Freiburg, "Saturday, November 27, 2010", AWD-Arena (34,108)
Kaiserslautern, 5, 0, Schalke 04, "Saturday, November 27, 2010", Fritz-Walter-Stadion (49,474)
TSG Hoffenheim, 2, 2, Bayer Leverkusen, "Saturday, November 27, 2010", Rhein-Neckar-Arena (29,250)
Borussia Dortmund, 4, 1, Borussia Monchengladbach, "Saturday, November 27, 2010", Signal Iduna Park (79,200)
Mainz, 3, 0, Nurnberg, "Friday, November 26, 2010", Stadion am Bruchweg (20,300)
VfB Stuttgart, 0, 1, FC Cologne, "Sunday, November 21, 2010", Mercedes-Benz Arena (39,500)
St Pauli, 1, 1, VfL Wolfsburg, "Sunday, November 21, 2010", Millerntor-Stadion (24,000)
Borussia Monchengladbach, 2, 3, Mainz, "Saturday, November 20, 2010", Borussia-Park (45,472)
Eintracht Frankfurt, 0, 4, TSG Hoffenheim, "Saturday, November 20, 2010", Commerzbank Arena (44,300)
Hannover 96, 3, 2, Hamburg SV, "Saturday, November 20, 2010", AWD-Arena (49,000)
Nurnberg, 1, 3, Kaiserslautern, "Saturday, November 20, 2010", EasyCredit-Stadion (40,711)
SC Freiburg, 1, 2, Borussia Dortmund, "Saturday, November 20, 2010", badenova-Stadion (24,000)
Schalke 04, 4, 0, Werder Bremen, "Saturday, November 20, 2010", Veltins-Arena (61,673)
Bayer Leverkusen, 1, 1, Bayern Munich, "Saturday, November 20, 2010", BayArena (30,120)
TSG Hoffenheim, 0, 1, SC Freiburg, "Sunday, November 14, 2010", Rhein-Neckar-Arena (30,150)
Bayern Munich, 3, 0, Nurnberg, "Sunday, November 14, 2010", Allianz Arena (69,000)
FC Cologne, 0, 4, Borussia Monchengladbach, "Saturday, November 13, 2010", RheinEnergieStadion (50,000)
Kaiserslautern, 3, 3, VfB Stuttgart, "Saturday, November 13, 2010", Fritz-Walter-Stadion (46,904)
St Pauli, 0, 1, Bayer Leverkusen, "Saturday, November 13, 2010", Millerntor-Stadion (24,387)
VfL Wolfsburg, 2, 2, Schalke 04, "Saturday, November 13, 2010", Volkswagen Arena (30,000)
Werder Bremen, 0, 0, Eintracht Frankfurt, "Saturday, November 13, 2010", Weserstadion (35,300)
Mainz, 0, 1, Hannover 96, "Saturday, November 13, 2010", Stadion am Bruchweg (20,000)
Borussia Dortmund, 2, 0, Hamburg SV, "Friday, November 12, 2010", Signal Iduna Park (80,720)
Hannover 96, 0, 4, Borussia Dortmund, "Sunday, November 7, 2010", AWD-Arena (49,000)
Bayer Leverkusen, 3, 1, Kaiserslautern, "Sunday, November 7, 2010", BayArena (29,794)
VfB Stuttgart, 6, 0, Werder Bremen, "Sunday, November 7, 2010", Mercedes-Benz Arena (39,500)
