home, homescore, awayscore, away, date, group
VfB Stuttgart, 2, 0, Eintracht Frankfurt, "Saturday, April 25, 2009", Mercedes-Benz Arena (55,000)
Werder Bremen, 3, 2, VfL Bochum, "Saturday, April 25, 2009", Weserstadion (39,303)
TSG Hoffenheim, 0, 1, Hertha Berlin, "Friday, April 24, 2009", WIRSOL Rhein-Neckar-Arena (30,150)
Hamburg SV, 2, 1, Hannover 96, "Sunday, April 19, 2009", Imtech Arena (56,454)
Hertha Berlin, 2, 1, Werder Bremen, "Sunday, April 19, 2009", Olympiastadion (68,022)
Arminia Bielefeld, 0, 1, Bayern Munich, "Saturday, April 18, 2009", SchÃ¼coArena (27,300)
Eintracht Frankfurt, 4, 1, Borussia Monchengladbach, "Saturday, April 18, 2009", Commerzbank Arena (51,500)
FC Cologne, 0, 3, VfB Stuttgart, "Saturday, April 18, 2009", RheinEnergieStadion (49,000)
Karlsruhe, 2, 2, TSG Hoffenheim, "Saturday, April 18, 2009", Wildparkstadion (30,500)
VfL Bochum, 0, 2, Borussia Dortmund, "Saturday, April 18, 2009", rewirpowerSTADION (31,328)
VfL Wolfsburg, 2, 1, Bayer Leverkusen, "Saturday, April 18, 2009", Volkswagen Arena (30,000)
Schalke 04, 4, 0, Energie Cottbus, "Friday, April 17, 2009", Veltins-Arena (60,300)
Bayer Leverkusen, 1, 1, Werder Bremen, "Sunday, April 12, 2009", ESPRIT arena (43,900)
VfB Stuttgart, 1, 0, Hamburg SV, "Sunday, April 12, 2009", Mercedes-Benz Arena (55,700)
Bayern Munich, 4, 0, Eintracht Frankfurt, "Saturday, April 11, 2009", Allianz Arena (69,000)
Borussia Dortmund, 3, 1, FC Cologne, "Saturday, April 11, 2009", Signal Iduna Park (80,552)
Borussia Monchengladbach, 1, 2, VfL Wolfsburg, "Saturday, April 11, 2009", Borussia-Park (49,152)
Energie Cottbus, 2, 1, Arminia Bielefeld, "Saturday, April 11, 2009", Stadion der Freundschaft (17,150)
Hannover 96, 2, 0, Hertha Berlin, "Saturday, April 11, 2009", AWD-Arena (47,187)
Schalke 04, 2, 0, Karlsruhe, "Saturday, April 11, 2009", Veltins-Arena (61,397)
TSG Hoffenheim, 0, 3, VfL Bochum, "Saturday, April 11, 2009", WIRSOL Rhein-Neckar-Arena (30,150)
FC Cologne, 0, 2, Bayer Leverkusen, "Sunday, April 5, 2009", RheinEnergieStadion (49,800)
Karlsruhe, 0, 0, Borussia Monchengladbach, "Sunday, April 5, 2009", Wildparkstadion (29,380)
Werder Bremen, 4, 1, Hannover 96, "Sunday, April 5, 2009", Weserstadion (42,100)
Eintracht Frankfurt, 2, 1, Energie Cottbus, "Saturday, April 4, 2009", Commerzbank Arena (44,800)
Hamburg SV, 1, 0, TSG Hoffenheim, "Saturday, April 4, 2009", Imtech Arena (57,000)
Hertha Berlin, 1, 3, Borussia Dortmund, "Saturday, April 4, 2009", Olympiastadion (74,244)
VfL Bochum, 1, 2, VfB Stuttgart, "Saturday, April 4, 2009", rewirpowerSTADION (24,718)
VfL Wolfsburg, 5, 1, Bayern Munich, "Saturday, April 4, 2009", Volkswagen Arena (30,000)
Arminia Bielefeld, 0, 2, Schalke 04, "Friday, April 3, 2009", SchÃ¼coArena (27,300)
Schalke 04, 1, 2, Hamburg SV, "Sunday, March 22, 2009", Veltins-Arena (61,673)
Arminia Bielefeld, 0, 3, VfL Wolfsburg, "Saturday, March 21, 2009", SchÃ¼coArena (20,200)
Bayer Leverkusen, 1, 1, Eintracht Frankfurt, "Saturday, March 21, 2009", ESPRIT arena (32,000)
Bayern Munich, 1, 0, Karlsruhe, "Saturday, March 21, 2009", Allianz Arena (69,000)
Borussia Dortmund, 1, 0, Werder Bremen, "Saturday, March 21, 2009", Signal Iduna Park (75,500)
Energie Cottbus, 0, 2, FC Cologne, "Saturday, March 21, 2009", Stadion der Freundschaft (15,650)
TSG Hoffenheim, 2, 2, Hannover 96, "Saturday, March 21, 2009", WIRSOL Rhein-Neckar-Arena (30,150)
VfB Stuttgart, 2, 0, Hertha Berlin, "Saturday, March 21, 2009", Mercedes-Benz Arena (50,000)
Borussia Monchengladbach, 0, 1, VfL Bochum, "Friday, March 20, 2009", Borussia-Park (49,282)
Hamburg SV, 2, 0, Energie Cottbus, "Sunday, March 15, 2009", Imtech Arena (50,121)
Werder Bremen, 4, 0, VfB Stuttgart, "Sunday, March 15, 2009", Weserstadion (39,272)
Eintracht Frankfurt, 1, 1, TSG Hoffenheim, "Saturday, March 14, 2009", Commerzbank Arena (51,500)
FC Cologne, 2, 4, Borussia Monchengladbach, "Saturday, March 14, 2009", RheinEnergieStadion (50,067)
Hannover 96, 4, 4, Borussia Dortmund, "Saturday, March 14, 2009", AWD-Arena (48,000)
Hertha Berlin, 1, 0, Bayer Leverkusen, "Saturday, March 14, 2009", Olympiastadion (58,753)
Karlsruhe, 0, 1, Arminia Bielefeld, "Saturday, March 14, 2009", Wildparkstadion (24,621)
VfL Bochum, 0, 3, Bayern Munich, "Saturday, March 14, 2009", rewirpowerSTADION (31,328)
VfL Wolfsburg, 4, 3, Schalke 04, "Friday, March 13, 2009", Volkswagen Arena (29,000)
Arminia Bielefeld, 0, 0, Eintracht Frankfurt, "Sunday, March 8, 2009", SchÃ¼coArena (20,000)
Bayer Leverkusen, 1, 1, VfL Bochum, "Sunday, March 8, 2009", ESPRIT arena (26,000)
Bayern Munich, 5, 1, Hannover 96, "Saturday, March 7, 2009", Allianz Arena (69,000)
Borussia Monchengladbach, 4, 1, Hamburg SV, "Saturday, March 7, 2009", Borussia-Park (50,273)
Energie Cottbus, 1, 3, Hertha Berlin, "Saturday, March 7, 2009", Stadion der Freundschaft (20,000)
TSG Hoffenheim, 0, 0, Werder Bremen, "Saturday, March 7, 2009", WIRSOL Rhein-Neckar-Arena (30,115)
VfB Stuttgart, 2, 1, Borussia Dortmund, "Saturday, March 7, 2009", Mercedes-Benz Arena (55,896)
VfL Wolfsburg, 1, 0, Karlsruhe, "Saturday, March 7, 2009", Volkswagen Arena (24,459)
Schalke 04, 1, 0, FC Cologne, "Friday, March 6, 2009", Veltins-Arena (61,673)
Hamburg SV, 1, 3, VfL Wolfsburg, "Sunday, March 1, 2009", Imtech Arena (57,000)
Werder Bremen, 0, 0, Bayern Munich, "Sunday, March 1, 2009", Weserstadion (42,100)
Karlsruhe, 0, 2, VfB Stuttgart, "Sunday, March 1, 2009", Wildparkstadion (29,252)
Borussia Dortmund, 0, 0, TSG Hoffenheim, "Saturday, February 28, 2009", Signal Iduna Park (78,800)
Eintracht Frankfurt, 1, 2, Schalke 04, "Saturday, February 28, 2009", Commerzbank Arena (51,500)
Hannover 96, 1, 0, Bayer Leverkusen, "Saturday, February 28, 2009", AWD-Arena (32,337)
Hertha Berlin, 2, 1, Borussia Monchengladbach, "Saturday, February 28, 2009", Olympiastadion (48,534)
VfL Bochum, 3, 2, Energie Cottbus, "Saturday, February 28, 2009", rewirpowerSTADION (18,103)
FC Cologne, 1, 1, Arminia Bielefeld, "Friday, February 27, 2009", RheinEnergieStadion (47,500)
Bayer Leverkusen, 1, 2, Hamburg SV, "Sunday, February 22, 2009", ESPRIT arena (33,000)
